 34.08	8391819	8391819	U	0	unclassified
 65.92	16233085	31116	R	1	root
 65.77	16195125	10548	R1	131567	  cellular organisms
 65.71	16179888	548890	R2	2	    Bacteria
 40.94	10081918	33936	K	3379134	      Pseudomonadati
 39.63	9759888	95	K1	1783270	        FCB group
 39.63	9759793	385	K2	68336	          Bacteroidota/Chlorobiota group
 39.63	9759408	103540	P	976	            Bacteroidota
 39.21	9655854	777	C	200643	              Bacteroidia
 39.21	9655077	744427	O	171549	                Bacteroidales
 15.23	3751205	38531	F	171552	                  Prevotellaceae
 14.19	3493149	247411	G	2974251	                    Segatella
 13.06	3216643	3207769	S	165179	                      Segatella copri
  0.04	8874	8874	S1	537011	                        Segatella copri DSM 18205
  0.12	28873	28873	S	2518605	                      Segatella hominis
  0.00	147	147	S	77095	                      Segatella bryantii
  0.00	75	0	S	305719	                      Segatella baroniae
  0.00	75	75	S1	752555	                        Segatella baroniae B14
  0.88	217793	42751	G	577309	                    Paraprevotella
  0.59	146062	146062	S	454154	                      Paraprevotella clara
  0.12	28980	0	S	454155	                      Paraprevotella xylaniphila
  0.12	28980	28980	S1	762982	                        Paraprevotella xylaniphila YIT 11841
  0.01	1515	630	G	838	                    Prevotella
  0.00	274	274	S	28131	                      Prevotella intermedia
  0.00	237	237	S	28128	                      Prevotella corporis
  0.00	118	26	G1	2638335	                      unclassified Prevotella
  0.00	44	44	S	2913616	                        Prevotella sp. E13-17
  0.00	31	31	S	2913621	                        Prevotella sp. E9-3
  0.00	9	9	S	2913620	                        Prevotella sp. E2-28
  0.00	5	0	S	652716	                        Prevotella sp. oral taxon 299
  0.00	5	5	S1	575614	                          Prevotella sp. oral taxon 299 str. F0039
  0.00	3	3	S	2691580	                        Prevotella sp. Rep29
  0.00	92	92	S	28125	                      Prevotella bivia
  0.00	69	69	S	28132	                      Prevotella melaninogenica
  0.00	29	1	S	28133	                      Prevotella nigrescens
  0.00	28	28	S1	702439	                        Prevotella nigrescens F0103
  0.00	23	23	S	28137	                      Prevotella veroralis
  0.00	20	20	S	1177574	                      Prevotella jejuni
  0.00	14	14	S	282402	                      Prevotella multiformis
  0.00	6	0	S	589437	                      Prevotella scopos
  0.00	6	6	S1	1236518	                        Prevotella scopos JCM 17725
  0.00	2	2	S	28129	                      Prevotella denticola
  0.00	1	0	S	52227	                      Prevotella dentalis
  0.00	1	1	S1	908937	                        Prevotella dentalis DSM 3688
  0.00	161	0	G	2974257	                    Hoylesella
  0.00	158	158	S	28127	                      Hoylesella buccalis
  0.00	3	3	S	76123	                      Hoylesella enoeca
  0.00	56	0	G	2884814	                    Pseudoprevotella
  0.00	56	56	S	2133944	                      Pseudoprevotella muciniphila
 13.04	3212263	31	F	171550	                  Rikenellaceae
 13.04	3212232	467827	G	239759	                    Alistipes
  5.69	1401408	862300	S	328813	                      Alistipes onderdonkii
  2.19	539108	539108	S1	2585117	                        Alistipes onderdonkii subsp. vulgaris
  3.76	925408	911081	S	328814	                      Alistipes shahii
  0.06	14327	14327	S1	717959	                        Alistipes shahii WAL 8301
  0.48	118495	118495	S	2585118	                      Alistipes communis
  0.44	108060	12591	S	214856	                      Alistipes finegoldii
  0.39	95469	95469	S1	679935	                        Alistipes finegoldii DSM 17242
  0.32	79930	0	S	1470347	                      Alistipes ihumii
  0.32	79930	79930	S1	1211813	                        Alistipes ihumii AP11
  0.22	53043	53043	S	28117	                      Alistipes putredinis
  0.11	28234	1	G1	2608932	                      unclassified Alistipes
  0.11	26239	26239	S	2662363	                        Alistipes sp. dk3624
  0.01	1994	1994	S	3132707	                        Alistipes sp. i18-0019-D1
  0.10	23883	23883	S	1288121	                      Alistipes senegalensis
  0.02	4107	4107	S	2364787	                      Alistipes megaguti
  0.00	1143	1143	S	2585119	                      Alistipes dispar
  0.00	637	0	G1	538948	                      environmental samples
  0.00	637	637	S	538949	                        uncultured Alistipes sp.
  0.00	57	57	S	626932	                      Alistipes indistinctus
  5.90	1453060	76729	F	815	                  Bacteroidaceae
  3.62	890752	452109	G	816	                    Bacteroides
  1.44	354724	353636	S	820	                      Bacteroides uniformis
  0.00	1088	1088	S1	997890	                        Bacteroides uniformis CL03T12C37
  0.11	26586	26586	S	28111	                      Bacteroides eggerthii
  0.08	20463	20463	S	818	                      Bacteroides thetaiotaomicron
  0.05	11424	7109	S	371601	                      Bacteroides xylanisolvens
  0.02	4315	4315	S1	657309	                        Bacteroides xylanisolvens XB1A
  0.03	6676	2424	S	47678	                      Bacteroides caccae
  0.02	4252	4252	S1	997873	                        Bacteroides caccae CL03T12C61
  0.02	4404	4404	S	246787	                      Bacteroides cellulosilyticus
  0.01	3102	987	G1	2646097	                      unclassified Bacteroides
  0.00	850	850	S	2528203	                        Bacteroides sp. A1C1
  0.00	608	608	S	2755405	                        Bacteroides sp. CACC 737
  0.00	282	282	S	2847299	                        Bacteroides sp. DH3716P
  0.00	188	188	S	2785531	                        Bacteroides sp. HF-162
  0.00	125	125	S	2763022	                        Bacteroides sp. M10
  0.00	38	38	S	556259	                        Bacteroides sp. D2
  0.00	22	22	S	2025659	                        Bacteroides sp. KFT8
  0.00	1	1	S	2162637	                        Bacteroides sp. PHL 2737
  0.00	1	1	S	3096000	                        Bacteroides sp. CG01
  0.01	2897	2846	S	817	                      Bacteroides fragilis
  0.00	51	51	S1	997879	                        Bacteroides fragilis CL03T12C07
  0.01	2480	2480	S	291645	                      Bacteroides nordii
  0.01	1976	1976	S	28116	                      Bacteroides ovatus
  0.00	1222	1222	S	674529	                      Bacteroides faecis
  0.00	920	604	S	46506	                      Bacteroides stercoris
  0.00	316	316	S1	449673	                        Bacteroides stercoris ATCC 43183
  0.00	725	725	S	291644	                      Bacteroides salyersiae
  0.00	288	288	S	2763021	                      Bacteroides difficilis
  0.00	221	221	S	2792859	                      Bacteroides humanifaecis
  0.00	95	95	S	2650158	                      Bacteroides luhongzhouii
  0.00	80	80	S	2650157	                      Bacteroides zhangwenhongii
  0.00	76	76	S	2763023	                      Bacteroides hominis
  0.00	53	53	S	3117552	                      Bacteroides maternus
  0.00	43	43	S	28119	                      Bacteroides zoogleoformans
  0.00	42	42	S	338188	                      Bacteroides finegoldii
  0.00	37	37	S	310300	                      Bacteroides pyogenes
  0.00	36	36	S	1796613	                      Bacteroides caecimuris
  0.00	31	31	S	329854	                      Bacteroides intestinalis
  0.00	31	31	S	2715212	                      Bacteroides faecium
  0.00	10	10	S	28113	                      Prevotella heparinolytica
  0.00	1	0	S	290053	                      Bacteroides helcogenes
  0.00	1	1	S1	693979	                        Bacteroides helcogenes P 36-108
  1.97	485579	137472	G	909656	                    Phocaeicola
  1.36	335592	335592	S	821	                      Phocaeicola vulgatus
  0.03	7009	6680	S	357276	                      Phocaeicola dorei
  0.00	329	329	S1	997877	                        Phocaeicola dorei CL03T12C01
  0.02	4372	0	S	376805	                      Phocaeicola salanitronis
  0.02	4372	4372	S1	667015	                        Phocaeicola salanitronis DSM 18170
  0.00	1134	1134	S	387090	                      Phocaeicola coprophilus
  1.64	403528	49	F	2005525	                  Tannerellaceae
  1.64	403475	271419	G	375288	                    Parabacteroides
  0.28	68629	60875	S	823	                      Parabacteroides distasonis
  0.03	7611	7611	S1	435591	                        Parabacteroides distasonis ATCC 8503
  0.00	143	143	S1	999416	                        Parabacteroides distasonis CL03T12C09
  0.20	48253	48253	S	46503	                      Parabacteroides merdae
  0.04	9812	9812	S	2951805	                      Parabacteroides absconsus
  0.01	3088	3088	S	2685834	                      Parabacteroides chongii
  0.01	1643	1643	S	387661	                      Parabacteroides johnsonii
  0.00	484	0	G1	2649774	                      unclassified Parabacteroides
  0.00	270	270	S	2025876	                        Parabacteroides sp. CT06
  0.00	214	214	S	3415987	                        Parabacteroides sp. ASD2025
  0.00	78	78	S	1217282	                      Parabacteroides faecis
  0.00	69	69	S	328812	                      Parabacteroides goldsteinii
  0.00	4	0	G	195950	                    Tannerella
  0.00	4	4	S	712710	                      Tannerella serpentiformis
  0.25	61448	29	F	1853231	                  Odoribacteraceae
  0.15	36755	14146	G	574697	                    Butyricimonas
  0.03	7209	7209	S	544645	                      Butyricimonas virosa
  0.03	6964	6964	S	1472416	                      Butyricimonas faecihominis
  0.02	4389	4389	S	1472417	                      Butyricimonas paravirosa
  0.02	4047	4047	S	2093856	                      Butyricimonas faecalis
  0.10	24664	0	G	283168	                    Odoribacter
  0.10	24664	24664	S	28118	                      Odoribacter splanchnicus
  0.12	28599	28	F	2005519	                  Barnesiellaceae
  0.12	28456	601	G	397864	                    Barnesiella
  0.09	22804	22804	S	487174	                      Barnesiella intestinihominis
  0.02	4371	0	G1	2645177	                      unclassified Barnesiella
  0.02	4371	4371	S	1965590	                        Barnesiella sp. An22
  0.00	680	0	S	397865	                      Barnesiella viscericola
  0.00	680	680	S1	880074	                        Barnesiella viscericola DSM 18177
  0.00	115	1	G	1348911	                    Coprobacter
  0.00	86	0	S	1501392	                      Coprobacter secundus
  0.00	86	86	S1	2751153	                        Coprobacter secundus subsp. similis
  0.00	28	28	S	1099853	                      Coprobacter fastidiosus
  0.00	275	15	F	2005473	                  Muribaculaceae
  0.00	185	0	G	2815786	                    Sodaliphilus
  0.00	185	185	S	2606626	                      Sodaliphilus pleomorphus
  0.00	56	7	G	1918540	                    Muribaculum
  0.00	36	36	S	1796646	                      Muribaculum intestinale
  0.00	13	13	S	2530390	                      Muribaculum gordoncarteri
  0.00	19	0	G	2518495	                    Duncaniella
  0.00	19	19	S	2518971	                      Duncaniella dubosii
  0.00	253	0	F	2005520	                  Dysgonomonadaceae
  0.00	253	0	G	307628	                    Petrimonas
  0.00	253	253	S	1642646	                      Petrimonas mucosa
  0.00	19	0	F	171551	                  Porphyromonadaceae
  0.00	19	2	G	836	                    Porphyromonas
  0.00	13	13	S	837	                      Porphyromonas gingivalis
  0.00	2	2	S	28114	                      Porphyromonas levii
  0.00	1	0	S	28123	                      Porphyromonas asaccharolytica
  0.00	1	1	S1	879243	                        Porphyromonas asaccharolytica DSM 20707
  0.00	1	1	S	322095	                      Porphyromonas somerae
  0.00	10	0	C	117747	              Sphingobacteriia
  0.00	10	0	O	200666	                Sphingobacteriales
  0.00	10	0	F	84566	                  Sphingobacteriaceae
  0.00	8	0	G	376469	                    Olivibacter
  0.00	8	0	G1	2632301	                      unclassified Olivibacter
  0.00	8	8	S	2592345	                        Olivibacter sp. LS-1
  0.00	2	2	G	28453	                    Sphingobacterium
  0.00	4	0	C	117743	              Flavobacteriia
  0.00	4	1	O	200644	                Flavobacteriales
  0.00	2	1	F	2762318	                  Weeksellaceae
  0.00	1	0	G	1433995	                    Cruoricaptor
  0.00	1	1	S	1118202	                      Cruoricaptor ignavus
  0.00	1	0	F	49546	                  Flavobacteriaceae
  0.00	1	1	G	1016	                    Capnocytophaga
