100.00	20922561	0	R	1	root
99.20	20755927	0	R1	131567	  cellular organisms
99.18	20751190	0	R2	2	    Bacteria
50.08	10477601	0	K	1783272	      Bacillati
38.31	8015107	0	P	1239	        Bacillota
36.97	7735608	0	C	186801	          Clostridia
29.83	6241617	0	O	186802	            Eubacteriales
29.00	6068162	0	F	216572	              Oscillospiraceae
22.29	4663601	0	G	216851	                Faecalibacterium
8.47	1771586	0	G1	2646395	                  unclassified Faecalibacterium
4.27	893996	893996	S	3141184	                    Faecalibacterium sp. i21-0019-B1
0.50	105046	105046	S	2929494	                    Faecalibacterium sp. I4-1-79
1.13	235750	235750	S	2929495	                    Faecalibacterium sp. I4-3-84
0.19	38725	38725	S	2929493	                    Faecalibacterium sp. I3-3-89
0.63	131900	131900	S	2929489	                    Faecalibacterium sp. IP-3-29
0.96	200663	200663	S	3141185	                    Faecalibacterium sp. i25-0019-C1
0.50	104090	104090	S	2929488	                    Faecalibacterium sp. IP-1-18
0.16	33220	33220	S	2929490	                    Faecalibacterium sp. I2-3-92
0.10	21100	21100	S	3402017	                    Faecalibacterium sp. 7
0.03	7092	7092	S	2929492	                    Faecalibacterium sp. I3-3-33
4.88	1020087	1020087	S	853	                  Faecalibacterium prausnitzii
7.85	1643248	1643248	S	3030638	                  Faecalibacterium taiwanense
0.64	134433	134433	S	411483	                  Faecalibacterium duncaniae
0.30	61813	61813	S	2881265	                  Faecalibacterium hominis (ex Afrizal et al. 2022)
0.16	32432	32432	S	2929491	                  Faecalibacterium wellingii
1.50	312849	0	G	2892396	                Vescimonas
0.89	186252	186252	S	2714353	                  Vescimonas fastidiosa
0.61	126596	126596	S	2714355	                  Vescimonas coprocola
1.24	259597	0	G	2172004	                Lawsonibacter
1.24	259597	259597	S	2108523	                  Lawsonibacter asaccharolyticus
1.09	229037	0	G	2591381	                Dysosmobacter
1.09	229037	229037	S	2093857	                  Dysosmobacter welbionis
0.85	177073	0	G	1905344	                Ruthenibacterium
0.85	177073	177073	S	1550024	                  Ruthenibacterium lactatiformans
0.57	120285	0	G	946234	                Flavonifractor
0.57	120285	120285	S	292800	                  Flavonifractor plautii
0.54	112072	0	G	459786	                Oscillibacter
0.45	93810	0	G1	2629304	                  unclassified Oscillibacter
0.45	93810	93810	S	2109687	                    Oscillibacter sp. PEA192
0.09	18261	18261	S	2763056	                  Oscillibacter hominis
0.41	84843	0	G	2892397	                Pusillibacter
0.41	84843	84843	S	2714358	                  Pusillibacter faecalis
0.27	55468	0	G	1263	                Ruminococcus
0.22	46858	46858	S	1160721	                  Ruminococcus bicirculans (ex Wegman et al. 2014)
0.01	2536	0	G1	2608920	                  unclassified Ruminococcus
0.01	2054	2054	S	657323	                    Ruminococcus sp. SR1/5
0.00	482	482	S	3233381	                    Ruminococcus sp. JL13D9
0.01	2544	2544	S	1161942	                  Ruminococcus champanellensis
0.01	2427	2427	S	2564099	                  Ruminococcus bovis
0.01	1089	1089	S	40519	                  Ruminococcus callidus
0.00	11	11	S	1264	                  Ruminococcus albus
0.11	22835	0	G	292632	                Subdoligranulum
0.08	15777	15777	S	214851	                  Subdoligranulum variabile
0.03	7057	0	G1	512297	                  environmental samples
0.03	7057	7057	S	512298	                    uncultured Subdoligranulum sp.
0.07	14678	0	G	244127	                Anaerotruncus
0.07	14678	14678	S	169435	                  Anaerotruncus colihominis
0.05	11278	0	G	3393728	                Owariibacterium
0.05	11278	11278	S	3136601	                  Owariibacterium komagatae
0.01	2781	0	G	1017280	                Pseudoflavonifractor
0.01	2781	2781	S	2779352	                  Pseudoflavonifractor gallinarum
0.01	1277	0	G	2842531	                Solibaculum
0.01	1277	1277	S	2780922	                  Solibaculum mannosilyticum
0.00	321	0	G	1637257	                Mageeibacillus
0.00	321	321	S	884684	                  Mageeibacillus indolicus
0.00	76	0	G	3079925	                Amygdalobacter
0.00	76	76	S	3029274	                  Amygdalobacter nucleatus
0.00	55	0	G	253238	                Ethanoligenens
0.00	55	55	S	253239	                  Ethanoligenens harbinense
0.00	27	0	G	3048127	                Thermocaproicibacter
0.00	27	27	S	2966552	                  Thermocaproicibacter melissae
0.56	118195	0	O1	538999	              Eubacteriales incertae sedis
0.50	103586	0	G	1392389	                Intestinimonas
0.50	103586	103586	S	1297617	                  Intestinimonas butyriciproducens
0.07	14571	0	G	1918454	                Flintibacter
0.07	14571	0	G1	2610894	                  unclassified Flintibacter
0.07	14571	14571	S	2610895	                    Flintibacter sp. KGMB00164
0.00	38	0	G	1686313	                Fenollaria
0.00	38	38	S	2811778	                  Fenollaria sporofastidiosus
0.21	44112	0	F	31979	              Clostridiaceae
0.21	43895	0	G	1485	                Clostridium
0.10	20425	0	G1	2614128	                  unclassified Clostridium
0.07	14915	14915	S	411486	                    Clostridium sp. M62/1
0.01	1117	1117	S	1042156	                    Clostridium sp. SY8519
0.02	4248	4248	S	3373596	                    Clostridium sp. 10cd*
0.00	144	144	S	97138	                    Clostridium sp. MD294
0.11	23045	23045	S	1522	                  [Clostridium] innocuum
0.00	298	298	S	1502	                  Clostridium perfringens
0.00	127	127	S	1529	                  Clostridium cadaveris
0.00	217	0	G	420345	                Lactonifactor
0.00	217	217	S	341220	                  Lactonifactor longoviformis
0.03	5393	0	F	3085642	              Butyricicoccaceae
0.01	2234	0	G	1928820	                Intestinibacillus
0.01	2234	0	G1	2635293	                  unclassified Intestinibacillus
0.01	2234	2234	S	3079303	                    Intestinibacillus sp. NTUH-41-i26
0.01	2000	0	G	2048137	                Agathobaculum
0.00	450	0	G1	2620324	                  unclassified Agathobaculum
0.00	450	450	S	3079302	                    Agathobaculum sp. NTUH-O15-33
0.01	1549	1549	S	3014267	                  Agathobaculum massiliense
0.01	1158	0	G	580596	                Butyricicoccus
0.01	1065	1065	S	1945634	                  Butyricicoccus porcorum
0.00	93	0	G1	2633649	                  unclassified Butyricicoccus
0.00	93	93	S	2109686	                    Butyricicoccus sp. GAM44
0.02	4932	0	F	186806	              Eubacteriaceae
0.02	4932	0	G	1730	                Eubacterium
0.01	1677	0	G1	2624479	                  unclassified Eubacterium (in: firmicutes)
0.01	1677	1677	S	2841528	                    Eubacterium sp. MSJ-33
0.01	1620	1620	S	39496	                  Eubacterium ventriosum
0.00	633	633	S	53442	                  Eubacterium callanderi
0.00	632	632	S	39490	                  Eubacterium ramulus
0.00	320	320	S	2041044	                  Eubacterium maltosivorans
0.00	48	48	S	1736	                  Eubacterium limosum
0.00	820	0	F	3082771	              Acutalibacteraceae
0.00	641	0	G	1918385	                Acutalibacter
0.00	641	641	S	1796620	                  Acutalibacter muris
0.00	178	0	G	2576755	                Caproicibacter
0.00	178	0	G1	2814883	                  unclassified Caproicibacter
0.00	178	178	S	3110227	                    Caproicibacter sp. BJN0012
7.06	1476892	0	O	3085636	            Lachnospirales
7.06	1476877	0	F	186803	              Lachnospiraceae
3.38	706913	0	G	1766253	                Agathobacter
3.38	706913	706913	S	39491	                  Agathobacter rectalis
1.04	218262	0	G	2944193	                Simiaoa
1.04	218262	218262	S	2763672	                  Simiaoa sunii
0.96	201682	0	G	841	                Roseburia
0.76	159697	159697	S	166486	                  Roseburia intestinalis
0.13	27040	27040	S	301302	                  Roseburia faecis
0.06	12947	12947	S	301301	                  Roseburia hominis
0.01	1577	1577	S	2763062	                  Roseburia rectibacter
0.00	419	0	G1	2637578	                  unclassified Roseburia
0.00	222	222	S	1261634	                    Roseburia sp. 499
0.00	197	197	S	1261635	                    Roseburia sp. 831b
0.80	167228	0	G	3342669	                Eshraghiella
0.80	167228	167228	S	45851	                  Eshraghiella crossota
0.32	66026	0	G	572511	                Blautia
0.09	19811	19811	S	418240	                  Blautia wexlerae
0.09	18661	18661	S	53443	                  Blautia hydrogenotrophica
0.04	8664	8664	S	40520	                  Blautia obeum
0.01	2889	2889	S	89014	                  Blautia luti
0.07	14488	14488	S	1737424	                  Blautia massiliensis (ex Durand et al. 2017)
0.01	1075	0	G1	2648079	                  unclassified Blautia
0.01	1075	1075	S	2479767	                    Blautia sp. SC05B48
0.00	201	201	S	33035	                  Blautia producta
0.00	177	177	S	1322	                  Blautia hansenii
0.00	33	33	S	2877527	                  Blautia parvula
0.00	23	23	S	1912897	                  Blautia argi
0.16	33994	0	G	2316020	                Mediterraneibacter
