.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR8146972_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146972_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146973_1	1	1	1	0.5	0.5	1	0.5	1	1	1
SRR8146973_2	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146974_1	1	1	1	0.5	0.25	1	0.5	1	1	1
SRR8146974_2	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146975_1	1	1	1	0.5	1	1	1	1	1	1
SRR8146975_2	1	1	1	0.5	1	1	1	1	1	1
SRR8146976_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146976_2	1	1	1	0.5	1	1	1	1	1	1
SRR8146977_1	1	1	1	0.5	0.25	1	0.5	0.5	1	1
SRR8146977_2	1	1	1	0.5	0.25	1	0.5	1	1	1
