Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR8146972_1 - illumina_universal_adapter	(1, 2.9297488344635144e-05)	(2, 7.324372086158786e-05)	(3, 7.690590690466726e-05)	(4, 8.423027899082605e-05)	(5, 9.155465107698483e-05)	(6, 0.00011718995337854058)	(7, 0.00013916306963701695)	(8, 0.0001684605579816521)	(9, 0.0014868475334902337)	(10, 0.0017889778820442835)	(12, 0.0021405477421799052)	(14, 0.0024829621372078284)	(16, 0.003876423926599538)	(18, 0.0057624497387854245)	(20, 0.006665178598404495)	(22, 0.007016748458540117)	(24, 0.007344514109395722)	(26, 0.0076997461555744235)	(28, 0.008067795852903903)	(30, 0.008496271619944193)	(32, 0.009012639852018386)	(34, 0.009637042572363422)	(36, 0.010303560432203873)	(38, 0.011109241361681338)	(40, 0.01206873410496814)	(42, 0.013134430243504244)	(44, 0.014231254963406522)	(46, 0.015474567125031976)	(48, 0.016734359123851288)	(50, 0.018263321796836932)	(52, 0.019944265190610374)	(54, 0.021760709467977757)	(56, 0.02371997900102523)	(58, 0.025851371278097435)	(60, 0.028197001438689785)	(62, 0.030729403087479186)	(64, 0.0334009678059056)	(66, 0.03627944603576601)	(68, 0.03956076473036514)	(70, 0.04323210623855223)	(72, 0.04725501760687495)	(74, 0.0516258366492902)	(76, 0.05642146927270267)	(78, 0.06154669863999228)	(80, 0.06716266093705453)	(82, 0.07325836960576018)	(84, 0.08008285329703863)	(86, 0.08721312952291421)	(88, 0.09463271844619306)	(90, 0.10275361599672161)	(92, 0.11150257845363828)	(94, 0.12108651932837705)	(96, 0.13183869755085814)	(98, 0.143363597028429)	(100, 0.15583883378417895)	(102, 0.16903735228343708)	(104, 0.18315141729346507)	(106, 0.1989152971159003)	(108, 0.21550499989104996)	(110, 0.233565070362496)	(112, 0.2529581765536229)	(114, 0.27362755458076304)	(116, 0.29579659779254414)	(118, 0.3199194172583081)	(120, 0.34636223158236285)	(122, 0.37456655739313877)	(124, 0.4050487629227101)	(126, 0.4376019346596428)	(128, 0.4725428516966633)	(130, 0.5101553334521103)	(132, 0.5493535417642106)	(134, 0.5920546310265162)	(136, 0.6380150658671626)	(138, 0.6864346586357368)
SRR8146972_2 - illumina_universal_adapter	(1, 1.8310930215396965e-05)	(2, 3.662186043079393e-05)	(3, 4.3946232516952716e-05)	(4, 6.225716273234969e-05)	(5, 6.958153481850847e-05)	(6, 8.423027899082605e-05)	(7, 0.0001062033952493024)	(8, 0.00013916306963701695)	(9, 0.0014685366032748367)	(10, 0.001774329137871966)	(12, 0.0021606897654168422)	(14, 0.0025507125790047974)	(16, 0.004057702135731967)	(18, 0.00603162041295176)	(20, 0.007036890481777054)	(22, 0.007511143574355835)	(24, 0.008020187434343871)	(26, 0.008598812829150416)	(28, 0.009192086968129277)	(30, 0.00989705778142206)	(32, 0.010722880734136464)	(34, 0.01170983987274636)	(36, 0.012654683871860844)	(38, 0.013832076684710867)	(40, 0.015231031753167194)	(42, 0.016639142286731225)	(44, 0.01809486123885528)	(46, 0.01967875670248712)	(48, 0.021345051352088244)	(50, 0.023311645257221875)	(52, 0.025499801417961813)	(54, 0.02781430299718799)	(56, 0.030187399553103438)	(58, 0.0327362810390867)	(60, 0.03551221805974088)	(62, 0.03854633919643215)	(64, 0.04178737384455741)	(66, 0.045178558120448936)	(68, 0.04899089379129458)	(70, 0.05317494134551279)	(72, 0.05773802515518971)	(74, 0.06266366538313149)	(76, 0.06799214607581201)	(78, 0.07360261509380964)	(80, 0.07964155987884756)	(82, 0.08622250819826123)	(84, 0.09352490716816153)	(86, 0.10120451130049903)	(88, 0.10916610375815364)	(90, 0.11781435609888562)	(92, 0.1271547616017596)	(94, 0.13719647573188332)	(96, 0.14855474574449404)	(98, 0.16059418236111755)	(100, 0.173715794953471)	(102, 0.18750392540566493)	(104, 0.20213069646172405)	(106, 0.21839629577206116)	(108, 0.23546940710489728)	(110, 0.25401654832007287)	(112, 0.27395715132464016)	(114, 0.29519416818845756)	(116, 0.31794916116713134)	(118, 0.3427293430276281)	(120, 0.3698331819324586)	(122, 0.39853739613811495)	(124, 0.4296092136206221)	(126, 0.4625670569153151)	(128, 0.4978979967659235)	(130, 0.5359792383348846)	(132, 0.5755253543210774)	(134, 0.6187281630712851)	(136, 0.6653166628183195)	(138, 0.7142434683538602)
SRR8146973_1 - illumina_universal_adapter	(1, 4.626615234512861e-05)	(2, 6.939922851769292e-05)	(3, 9.542393921182776e-05)	(4, 0.0001214486499059626)	(5, 0.00015036499512166798)	(6, 0.00018795624390208497)	(7, 0.00022554749268250196)	(8, 0.00024578893433349576)	(9, 0.0005580854626631138)	(10, 0.000676642478047506)	(12, 0.0008385740112554561)	(14, 0.0011031585699791601)	(16, 0.0019518533020601132)	(18, 0.0029017552423960353)	(20, 0.0033456211414571125)	(22, 0.003644905314439663)	(24, 0.003971660015377134)	(26, 0.004312872888922457)	(28, 0.00475818460524432)	(30, 0.005278678819127017)	(32, 0.005815077022878352)	(34, 0.0065119609425768514)	(36, 0.007291256446140112)	(38, 0.008137059543699494)	(40, 0.009140456722684471)	(42, 0.010064333952326258)	(44, 0.011161709253262278)	(46, 0.0123863164731474)	(48, 0.013665864748942363)	(50, 0.014972883552692245)	(52, 0.01633484341235197)	(54, 0.017913675861129484)	(56, 0.019440458888518728)	(58, 0.02110893200746493)	(60, 0.023031868964309338)	(62, 0.025141316347795043)	(64, 0.027320162959798444)	(66, 0.029574192069362678)	(68, 0.03179352156466807)	(70, 0.034203698938397115)	(72, 0.03703605495227545)	(74, 0.040053475575534306)	(76, 0.04325596080817368)	(78, 0.046642064832932775)	(80, 0.0503795024520627)	(82, 0.054348270832918266)	(84, 0.058607648483191666)	(86, 0.06315474376836133)	(88, 0.06788401202838995)	(90, 0.07292123936496583)	(92, 0.07828088395069682)	(94, 0.08433885827338711)	(96, 0.09104311291164839)	(98, 0.0979815899461569)	(100, 0.10571382065683652)	(102, 0.11392895433261842)	(104, 0.12306362778625975)	(106, 0.1330412127029389)	(108, 0.144103160565207)	(110, 0.15552222529088905)	(112, 0.16827867098279747)	(114, 0.18229731514337144)	(116, 0.19765912353921491)	(118, 0.21394914661648254)	(120, 0.23160835863971382)	(122, 0.2510849629597522)	(124, 0.27259149471393307)	(126, 0.2957086668966287)	(128, 0.3209237199247238)	(130, 0.34852726306763615)	(132, 0.378396401858199)	(134, 0.4108362037384381)	(136, 0.4459782380790849)	(138, 0.48391359136756873)
SRR8146973_2 - illumina_universal_adapter	(1, 4.915778686669915e-05)	(2, 5.783269043141076e-05)	(3, 8.096576660397506e-05)	(4, 0.00010409884277653937)	(5, 0.0001445817260785269)	(6, 0.00017349807129423228)	(7, 0.00020819768555307874)	(8, 0.00023422239624721358)	(9, 0.0005494105590984022)	(10, 0.0006419428637886595)	(12, 0.000832790742212315)	(14, 0.0011696661639752828)	(16, 0.0020819768555307874)	(18, 0.0031215194660353957)	(20, 0.0036738216596553684)	(22, 0.0041003377515870226)	(24, 0.004606373792861867)	(26, 0.0052280752149995325)	(28, 0.005972671104303946)	(30, 0.006806907663777046)	(32, 0.007714880903550195)	(34, 0.008742856975968522)	(36, 0.009876377708424172)	(38, 0.011057610410485738)	(40, 0.012370412483278762)	(42, 0.013739601429242413)	(44, 0.01524325138045909)	(46, 0.016940640844620998)	(48, 0.01864525939508683)	(50, 0.02036289030089973)	(52, 0.022139799714404825)	(54, 0.024132135899766927)	(56, 0.02611145972978196)	(58, 0.028290306341785358)	(60, 0.03065277174590849)	(62, 0.033246567911757265)	(64, 0.03591120912338451)	(66, 0.038659707736137305)	(68, 0.04125639553650765)	(70, 0.04408007664682129)	(72, 0.047351961107978346)	(74, 0.05081035599577671)	(76, 0.05445670712747716)	(78, 0.05835173882803267)	(80, 0.06254750051883153)	(82, 0.06693411008805403)	(84, 0.07166626998260422)	(86, 0.07668759332931145)	(88, 0.08185494421935802)	(90, 0.08744447374955386)	(92, 0.0933491914426009)	(94, 0.09981633205009341)	(96, 0.10696589840467656)	(98, 0.11432366244481279)	(100, 0.12238698530821224)	(102, 0.1309881521926238)	(104, 0.14045247198172417)	(106, 0.15078861957907808)	(108, 0.16220623848749932)	(110, 0.17403736113250518)	(112, 0.1871914065711296)	(114, 0.2017030744176313)	(116, 0.21754778577857709)	(118, 0.23429179547573126)	(120, 0.2523861984944589)	(122, 0.27240209265277016)	(124, 0.2943553819405337)	(126, 0.317959794540114)	(128, 0.3435001564518858)	(130, 0.37153455313851214)	(132, 0.4016639390360164)	(134, 0.4344695326832341)	(136, 0.469819764709434)	(138, 0.5078794582823454)
SRR8146974_1 - illumina_universal_adapter	(1, 4.5173699792926585e-05)	(2, 5.646712474115823e-05)	(3, 7.058390592644779e-05)	(4, 8.752404334879525e-05)	(5, 0.00010728753700820063)	(6, 0.00012987438690466392)	(7, 0.0001524612368011272)	(8, 0.00017787144293464842)	(9, 0.001146282632245512)	(10, 0.001366504418736029)	(12, 0.0016333115831380018)	(14, 0.0019283523099105533)	(16, 0.0031508655605566294)	(18, 0.004842055946554318)	(20, 0.005653770864708468)	(22, 0.005986926900681301)	(24, 0.006315847902298548)	(26, 0.0067407630159757636)	(28, 0.00721932189815708)	(30, 0.007740231123894264)	(32, 0.008454540251869916)	(34, 0.00935519089149139)	(36, 0.01023184300309787)	(38, 0.011227076076660784)	(40, 0.012290069699913088)	(42, 0.013492819456899759)	(44, 0.014915791000376946)	(46, 0.016481342033825556)	(48, 0.01796501573639949)	(50, 0.01949245146064782)	(52, 0.021220345477727262)	(54, 0.023097877375370772)	(56, 0.025075638419429842)	(58, 0.027177627137919456)	(60, 0.02945748729934372)	(62, 0.03196180428161409)	(64, 0.034787983874909056)	(66, 0.037755331280056925)	(68, 0.041023366124451455)	(70, 0.044486212549202986)	(72, 0.048012584489288315)	(74, 0.05180435191565709)	(76, 0.05584316301276843)	(78, 0.06024618706446024)	(80, 0.06482284752473111)	(82, 0.07017310759395586)	(84, 0.07589887404270931)	(86, 0.08168675432867803)	(88, 0.08808024452749566)	(90, 0.0948633578870273)	(92, 0.10197115721382058)	(94, 0.10964221610990693)	(96, 0.11797535204358336)	(98, 0.12715972988273275)	(100, 0.13722922990219977)	(102, 0.14802292079647217)	(104, 0.15971161561789193)	(106, 0.17228260926339228)	(108, 0.18567237621763943)	(110, 0.1998865631931075)	(112, 0.21535008530347366)	(114, 0.23210529289229384)	(116, 0.25026088517469475)	(118, 0.27008508099319684)	(120, 0.29164140586313403)	(122, 0.31494679992192853)	(124, 0.34004361351313633)	(126, 0.36710830640157344)	(128, 0.39611546838110645)	(130, 0.42764388748033216)	(132, 0.4616836819524208)	(134, 0.49920890969915754)	(136, 0.538958942160696)	(138, 0.5815464476404775)
SRR8146974_2 - illumina_universal_adapter	(1, 3.388027484469494e-05)	(2, 4.5173699792926585e-05)	(3, 5.364376850410032e-05)	(4, 6.776054968938987e-05)	(5, 8.470068711173734e-05)	(6, 0.00011011089324525855)	(7, 0.00013834445561583766)	(8, 0.00018351815540876425)	(9, 0.001146282632245512)	(10, 0.0013777978436842607)	(12, 0.0016686035361012258)	(14, 0.0020285814563261095)	(16, 0.0033089735098318727)	(18, 0.005086276261059827)	(20, 0.006036335634829815)	(22, 0.006527599620077891)	(24, 0.007092270867489474)	(26, 0.007783993145568662)	(28, 0.008621118269856332)	(30, 0.009500593737699872)	(32, 0.01065111140430097)	(34, 0.011979500513836719)	(36, 0.013230247326853375)	(38, 0.014650395514093504)	(40, 0.016121364113600677)	(42, 0.017784320937227784)	(44, 0.01969996814407158)	(46, 0.021710197784856812)	(48, 0.023666783657137945)	(50, 0.025679836654160234)	(52, 0.02793146325321392)	(54, 0.030423075132417526)	(56, 0.03297821252695493)	(58, 0.035608168861774384)	(60, 0.03845975866120287)	(62, 0.04157392059067774)	(64, 0.04504664876225897)	(66, 0.04868171991747104)	(68, 0.05259206830579624)	(70, 0.05666899471210787)	(72, 0.060758626221486256)	(74, 0.06516306195129659)	(76, 0.0698286581330348)	(78, 0.07482882202886436)	(80, 0.07997156541466535)	(82, 0.08595284560287253)	(84, 0.09230539713625283)	(86, 0.0987539427816931)	(88, 0.10579539323691553)	(90, 0.11315447126880698)	(92, 0.12084529365855273)	(94, 0.1291417259611474)	(96, 0.1381369389324139)	(98, 0.1479325733968863)	(100, 0.1586034482948467)	(102, 0.17004651112364244)	(104, 0.18229846551435525)	(106, 0.19558376828783125)	(108, 0.20973442974796547)	(110, 0.22475750828535063)	(112, 0.2409946300046707)	(114, 0.25850367370878535)	(116, 0.2775189779653704)	(118, 0.2980955982210484)	(120, 0.32054975037436995)	(122, 0.3447374432572451)	(124, 0.37062479659482905)	(126, 0.39839532854253074)	(128, 0.4282099704058623)	(130, 0.4604371701737598)	(132, 0.4951729219582833)	(134, 0.5334082237986401)	(136, 0.5739911463501104)	(138, 0.6173254295545938)
SRR8146975_1 - illumina_universal_adapter	(1, 2.8087567260244035e-06)	(2, 1.4043783630122017e-05)	(3, 1.4043783630122017e-05)	(4, 2.2470053808195228e-05)	(5, 2.2470053808195228e-05)	(6, 3.651383743831725e-05)	(7, 4.213135089036605e-05)	(8, 4.4940107616390456e-05)	(9, 0.006381495281527445)	(10, 0.008481040934230686)	(12, 0.011612804683747896)	(14, 0.014949607674264887)	(16, 0.0239053284951937)	(18, 0.035533581340934726)	(20, 0.041260636305298484)	(22, 0.043230979148604604)	(24, 0.04490921129240419)	(26, 0.04630235462851229)	(28, 0.04731210267151806)	(30, 0.04802271812320224)	(32, 0.0486743496836399)	(34, 0.04922767475866671)	(36, 0.049898967616186535)	(38, 0.05070508079655554)	(40, 0.05144097505877394)	(42, 0.052140355483554016)	(44, 0.0528762497457724)	(46, 0.05357282141382646)	(48, 0.05444213162053101)	(50, 0.055345146907947854)	(52, 0.05632540300533037)	(54, 0.057434861912110016)	(56, 0.05865667108793063)	(58, 0.05987567150702522)	(60, 0.06120702219516079)	(62, 0.06268864136813866)	(64, 0.06443568805172584)	(66, 0.06638917835467581)	(68, 0.06842552698104351)	(70, 0.07071325933439038)	(72, 0.07335770379194237)	(74, 0.07610466786999423)	(76, 0.07903279675687466)	(78, 0.08233168153159032)	(80, 0.08582437052040168)	(82, 0.08991813344858224)	(84, 0.09445708431783767)	(86, 0.0993162334538599)	(88, 0.1043130116694573)	(90, 0.10990103317588286)	(92, 0.11611400305384884)	(94, 0.12301933146477984)	(96, 0.13052292505835403)	(98, 0.13861354880766733)	(100, 0.14748641130517842)	(102, 0.1572552671982913)	(104, 0.16788500702793063)	(106, 0.17950764236021963)	(108, 0.19179314427985036)	(110, 0.20524849337587026)	(112, 0.21995514359333404)	(114, 0.23595663066149508)	(116, 0.25312375177095625)	(118, 0.27207724215816886)	(120, 0.29265138517629763)	(122, 0.31543882849453364)	(124, 0.3395014473663847)	(126, 0.36568046443129515)	(128, 0.3936458507739571)	(130, 0.4243961194104723)	(132, 0.45704510759378)	(134, 0.49220652866851644)	(136, 0.5295700150164562)	(138, 0.5700259425197486)
SRR8146975_2 - illumina_universal_adapter	(1, 5.617513452048807e-06)	(2, 1.4043783630122017e-05)	(3, 1.9661297082170825e-05)	(4, 2.527881053421963e-05)	(5, 3.651383743831725e-05)	(6, 5.3366377794463665e-05)	(7, 5.3366377794463665e-05)	(8, 5.898389124651247e-05)	(9, 0.006406774092061664)	(10, 0.00850912850149093)	(12, 0.011664766683179346)	(14, 0.015036679132771643)	(16, 0.024030318169501783)	(18, 0.035716150528126316)	(20, 0.04149376311355851)	(22, 0.04351466357793307)	(24, 0.04528698907205447)	(26, 0.046791078298840535)	(28, 0.047937051043058496)	(30, 0.04876844303396172)	(32, 0.04953663799852939)	(34, 0.05017563015369994)	(36, 0.05095927328026075)	(38, 0.05191425056710905)	(40, 0.05277794326036155)	(42, 0.053609335251264774)	(44, 0.054470219187791255)	(46, 0.05531284620559858)	(48, 0.056290293546255074)	(50, 0.05738009115595254)	(52, 0.05850640260308833)	(54, 0.059766129994710274)	(56, 0.06114803830391428)	(58, 0.06255662980201551)	(60, 0.06404667524517146)	(62, 0.06569962857843682)	(64, 0.06761239190885944)	(66, 0.06974283388554894)	(68, 0.07196736921256028)	(70, 0.07444890578000284)	(72, 0.0772197442902259)	(74, 0.08014366004201731)	(76, 0.08328946757516464)	(78, 0.0867596865101678)	(80, 0.09045601036161591)	(82, 0.09476885631442639)	(84, 0.09947211945215426)	(86, 0.10455175599116938)	(88, 0.1097900872852049)	(90, 0.11555506046536998)	(92, 0.12191970320654127)	(94, 0.1290132183181159)	(96, 0.1367794306655734)	(98, 0.1451017768447837)	(100, 0.1542414712312671)	(102, 0.16429822468879748)	(104, 0.17510491619217639)	(106, 0.18697472211635552)	(108, 0.1995439084653147)	(110, 0.21324783253158777)	(112, 0.22818339642222252)	(114, 0.24453036056768457)	(116, 0.26212862583459046)	(118, 0.2814879815687137)	(120, 0.3023682790699791)	(122, 0.3253832316830231)	(124, 0.3497871144970861)	(126, 0.3762975648556674)	(128, 0.404564892546377)	(130, 0.4354345333437482)	(132, 0.46815374044520647)	(134, 0.5034106592486278)	(136, 0.5409876111077453)	(138, 0.5818915353088387)
SRR8146976_1 - illumina_universal_adapter	(1, 4.898928457378518e-05)	(2, 7.348392686067777e-05)	(3, 0.00011897397682204971)	(4, 0.00015046708833376876)	(5, 0.00018895866907031424)	(6, 0.00023094948441927297)	(7, 0.0002484456574813391)	(8, 0.00029043647283029785)	(9, 0.004556003465362022)	(10, 0.005710750887458386)	(12, 0.007355391155292603)	(14, 0.009372699909348827)	(16, 0.01553485206180852)	(18, 0.024036242552666454)	(20, 0.028293061458667147)	(22, 0.029729497267062775)	(24, 0.031031212542880496)	(26, 0.03210372795158515)	(28, 0.03302752588926224)	(30, 0.03373612089827592)	(32, 0.03439572662271581)	(34, 0.03513581474324121)	(36, 0.035905646357972124)	(38, 0.03681894659181197)	(40, 0.03781622845634974)	(42, 0.038832756111255785)	(44, 0.03992976616224733)	(46, 0.04098128616327751)	(48, 0.04220426866031593)	(50, 0.04354097628225778)	(52, 0.04485318926191274)	(54, 0.04636660823178146)	(56, 0.04808648204378256)	(58, 0.04983609934998917)	(60, 0.05164695326191303)	(62, 0.05354178880453478)	(64, 0.05564307918928893)	(66, 0.058043554133404396)	(68, 0.06063473736389639)	(70, 0.06345861969611388)	(72, 0.06641197370899063)	(74, 0.06975724199845768)	(76, 0.07313225378213023)	(78, 0.07697791262117237)	(80, 0.08107901558692067)	(82, 0.08573649685604268)	(84, 0.09068616421530118)	(86, 0.09573730937831967)	(88, 0.10120836269482776)	(90, 0.1070923256956006)	(92, 0.11362714633428231)	(94, 0.12077783226474872)	(96, 0.12836417290446062)	(98, 0.13694954502601647)	(100, 0.14625925871234186)	(102, 0.15610260567706025)	(104, 0.16652507597013305)	(106, 0.17797807085656153)	(108, 0.19022889123462025)	(110, 0.2031970547082237)	(112, 0.21763489671904063)	(114, 0.23293180082720505)	(116, 0.24942194393820238)	(118, 0.2668253872830396)	(120, 0.28576324500541994)	(122, 0.3062705094514677)	(124, 0.32793077170230556)	(126, 0.3513056589132259)	(128, 0.3769742944125831)	(130, 0.4044835273180697)	(132, 0.43420077726398904)	(134, 0.46591609017359636)	(136, 0.4992830418202626)	(138, 0.5341844078444722)
SRR8146976_2 - illumina_universal_adapter	(1, 3.499234612413227e-05)	(2, 4.898928457378518e-05)	(3, 8.398163069791744e-05)	(4, 0.00010147780375998358)	(5, 0.00013647014988411586)	(6, 0.00016796326139583489)	(7, 0.0001819601998454878)	(8, 0.00021695254596962006)	(9, 0.004496516476950997)	(10, 0.005642515812516328)	(12, 0.007276658376513305)	(14, 0.009307964069019185)	(16, 0.015491111629153356)	(18, 0.02406423642956576)	(20, 0.028389290410508507)	(22, 0.02994295057841998)	(24, 0.03139688255987768)	(26, 0.032644359699203)	(28, 0.03376236515786902)	(30, 0.03473165314550748)	(32, 0.03562220835436665)	(34, 0.036608992515067176)	(36, 0.03763951710842288)	(38, 0.038902740803504046)	(40, 0.04025694459850797)	(42, 0.04158315451661258)	(44, 0.043007343003864766)	(46, 0.04439653914499282)	(48, 0.046030681708989794)	(50, 0.047713813557560554)	(52, 0.04945118354262372)	(54, 0.05135301755447031)	(56, 0.05348580105073617)	(58, 0.05563083186814548)	(60, 0.05788258934123339)	(62, 0.060265568112286796)	(64, 0.06284975287355396)	(66, 0.06568588252691489)	(68, 0.06872496778779577)	(70, 0.07198100559464628)	(72, 0.07540500666289263)	(74, 0.0792086746865858)	(76, 0.08302983888334105)	(78, 0.08735139362967137)	(80, 0.09191964441617685)	(82, 0.09710725972907946)	(84, 0.10253107337831996)	(86, 0.10803711904095217)	(88, 0.11400681328972914)	(90, 0.12034567679011571)	(92, 0.1274333764975587)	(94, 0.13506520718723192)	(96, 0.14320967574762372)	(98, 0.1522761926283864)	(100, 0.16213353653155446)	(102, 0.17245102978625484)	(104, 0.18339838527118962)	(106, 0.1953780149667863)	(108, 0.20815896938862563)	(110, 0.22181123322895585)	(112, 0.23681420162967753)	(114, 0.25297191745249564)	(116, 0.2704033546742321)	(118, 0.28880233026630087)	(120, 0.3086482393706025)	(122, 0.3301772803234748)	(124, 0.35292055568685465)	(126, 0.37753417195056926)	(128, 0.40441354262582146)	(130, 0.4330985183610789)	(132, 0.464346683449929)	(134, 0.49744069479682707)	(136, 0.5320743693731871)	(138, 0.5683666811558308)
