Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR8146972_1	(1, 2.023826548614879)	(2, 0.004782814972261688)	(3, 0.013670940498815374)	(4, 0.12780296853138468)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0006467420552078208)	(30, 0.0005112411716138833)	(35, 0.002064740491088162)	(40, 0.0024053237930945453)	(45, 0.0019863697097662627)	(50, 0.00029810194390666263)	(55, 0.0011198964919736784)	(60, 0.0015161450218348688)	(65, 0.001308132854587959)	(70, 0.0016992543239888384)	(75, 8.349784178221016e-05)	(80, 0.00036841591593378696)	(85, 0.001960734407464707)	(90, 0.00043946232516952716)	(95, 0.00010180877199760713)	(100, 0.004078942814781827)	(105, 7.690590690466725e-05)	(110, 0.00033325892992022477)	(115, 0.004706641502565636)	(120, 0.000736099394658958)	(125, 0.003972739419532525)	(130, 0.00034790767409254237)	(135, 0.00010473852083207064)	(140, 0.0030557280343454455)	(145, 0.004716163186277642)	(150, 0.0)
SRR8146972_2	(1, 1.6143282296498271)	(2, 0.07343781672187107)	(3, 0.010938949710678146)	(4, 0.17602297216061102)	(5, 0.002611138648715607)	(6, 0.0006738422319266084)	(7, 0.000325934557834066)	(8, 0.000736099394658958)	(9, 7.324372086158787e-06)	(10, 0.0018603905098843318)	(15, 0.0009382520642369404)	(20, 0.0056075392691631665)	(25, 0.005116806339390528)	(30, 0.002773739709028332)	(35, 0.003539869029240541)	(40, 0.001910928677278827)	(45, 0.001351346649896296)	(50, 0.003202215476068621)	(55, 0.0016985218867802225)	(60, 0.002170943886337464)	(65, 0.0018215713378276902)	(70, 0.0028821404159034823)	(75, 0.004210049075124071)	(80, 0.0005266223529948168)	(85, 0.0011814212174974122)	(90, 0.0067076599565042165)	(95, 0.0019424234772493101)	(100, 0.0024045913558859294)	(105, 0.0018559958866326363)	(110, 0.0015674156264379802)	(115, 0.0015249342683382593)	(120, 0.004404877372615894)	(125, 0.0013784468266150836)	(130, 0.001869912193596338)	(135, 0.00170071919840607)	(140, 0.002323290825729567)	(145, 0.0021811980072580866)	(150, 0.0)
SRR8146973_1	(1, 1.891565613919889)	(2, 0.0504966136501863)	(3, 0.0)	(4, 0.00011277374634125098)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.0241441650993766e-05)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0004366368127571512)	(25, 0.0003388995659280671)	(30, 0.0003371645852151247)	(35, 0.00028453683692254093)	(40, 0.00021340262769190574)	(45, 0.0003036216247649065)	(50, 0.0007639698405989361)	(55, 8.096576660397507e-06)	(60, 1.1566538086282153e-06)	(65, 0.0005037227336575878)	(70, 0.0009999272175590921)	(75, 0.00025735547241977785)	(80, 0.00031460983594687453)	(85, 0.0009293713352327709)	(90, 0.0008287424538821162)	(95, 0.0004273835822881255)	(100, 3.238630664159003e-05)	(105, 0.00026660870288880363)	(110, 8.906234326437257e-05)	(115, 0.00014920834131303977)	(120, 0.00010352051587222527)	(125, 0.000714812053732237)	(130, 0.0004106121020630164)	(135, 6.766424780475059e-05)	(140, 3.0651325928647707e-05)	(145, 0.0008050310508052378)	(150, 0.0)
SRR8146973_2	(1, 1.7218729336560434)	(2, 0.053940550365376816)	(3, 0.0017985966724168745)	(4, 0.011135684542568141)	(5, 0.00951347757596707)	(6, 0.0008819485290790141)	(7, 0.0017957050378953042)	(8, 0.00037591248780416994)	(9, 0.0004453117163218629)	(10, 0.007022045272181895)	(15, 0.005071926950834724)	(20, 0.0011838351731309781)	(25, 0.0015765191411602573)	(30, 0.003404032158792837)	(35, 0.0021346046038233715)	(40, 0.014495763856633108)	(45, 0.0031559299168420854)	(50, 0.010032815136041139)	(55, 0.0032542454905754837)	(60, 0.002058843779358223)	(65, 0.002257209907537962)	(70, 0.0)	(75, 0.01075109715119926)	(80, 0.0012700058818737804)	(85, 9.253230469025723e-06)	(90, 5.2049421388269685e-06)	(95, 0.0045531677176649694)	(100, 0.019489038348481112)	(105, 0.0011242675019866252)	(110, 2.891634521570538e-06)	(115, 0.01921317641512328)	(120, 0.0017968616917039323)	(125, 0.007572612485088926)	(130, 0.004269787534551057)	(135, 0.015484124536105918)	(140, 0.005738737871508889)	(145, 0.0015036499512166798)	(150, 0.0)
SRR8146974_1	(1, 1.8688133735834764)	(2, 0.050995460353739995)	(3, 0.0)	(4, 0.0001242276744305481)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.976349365940538e-05)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0003941405306932845)	(25, 0.0003348500497150683)	(30, 0.0003342853784676567)	(35, 0.00029475839114884595)	(40, 0.0002111870465319318)	(45, 0.00032016859728236713)	(50, 0.0007487540740677581)	(55, 7.340726216350569e-06)	(60, 5.646712474115823e-07)	(65, 0.00048618194402137233)	(70, 0.00097066987430051)	(75, 0.0002190924439956939)	(80, 0.0003060518160970776)	(85, 0.0008983919546318275)	(90, 0.0008244200212209102)	(95, 0.0004432669292180921)	(100, 3.3315603597283356e-05)	(105, 0.00027047752751014795)	(110, 0.0001016408245340848)	(115, 0.00015471992179077356)	(120, 0.0001016408245340848)	(125, 0.0007109211004911821)	(130, 0.00041898606557939406)	(135, 7.114857717385937e-05)	(140, 3.218626110246019e-05)	(145, 0.0007809403351702183)	(150, 0.0)
SRR8146974_2	(1, 1.7004594645239501)	(2, 0.05199775181789556)	(3, 0.0018492983352729321)	(4, 0.01105908638055584)	(5, 0.009187201195386444)	(6, 0.0009599411205996898)	(7, 0.0019227055974364376)	(8, 0.00033880274844694935)	(9, 0.00048279391653690293)	(10, 0.0069951474129346805)	(15, 0.005043643581880253)	(20, 0.0011711281671316217)	(25, 0.0015618806703404367)	(30, 0.0032954213998939944)	(35, 0.0021417980414321315)	(40, 0.014205999242380588)	(45, 0.0031412661493506323)	(50, 0.009851254582342464)	(55, 0.0032016859728236716)	(60, 0.002053144655588513)	(65, 0.0022756251270686766)	(70, 0.0)	(75, 0.010533942120463068)	(80, 0.0013106019652422824)	(85, 1.016408245340848e-05)	(90, 6.776054968938987e-06)	(95, 0.00445017410085068)	(100, 0.018965613186812814)	(105, 0.0011779042221005608)	(110, 5.646712474115823e-06)	(115, 0.018750473441549002)	(120, 0.0017990425942533013)	(125, 0.007485846726935347)	(130, 0.004173485189619005)	(135, 0.015049053414766079)	(140, 0.005685674790187222)	(145, 0.0015968902876799546)	(150, 0.0)
SRR8146975_1	(1, 1.6092659311487778)	(2, 0.009139694386483408)	(3, 0.0035839735824071384)	(4, 0.0005055762106843927)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.6290789010941538e-05)	(15, 0.0)	(20, 0.00012077653921904935)	(25, 0.00030615448313665996)	(30, 8.14539450547077e-05)	(35, 0.0006836513871143398)	(40, 9.268897195880531e-05)	(45, 0.0)	(50, 0.0)	(55, 0.00047861214611455834)	(60, 0.00038592317415575306)	(65, 0.00036289136900235293)	(70, 0.0)	(75, 0.0001859396952628155)	(80, 5.055762106843926e-06)	(85, 0.0012695580401630303)	(90, 0.0003454770773010016)	(95, 0.0)	(100, 5.898389124651247e-05)	(105, 5.617513452048807e-07)	(110, 5.3366377794463665e-05)	(115, 0.0007139859597554033)	(120, 0.0009954233837030486)	(125, 7.190417218622473e-05)	(130, 0.0)	(135, 0.00014998760916970315)	(140, 0.00011852953383822984)	(145, 0.0)	(150, 0.0)
SRR8146975_2	(1, 1.3377040958498345)	(2, 5.617513452048807e-06)	(3, 0.00010392399886290293)	(4, 0.00028087567260244036)	(5, 0.0)	(6, 0.0016515489549023491)	(7, 0.00043535729253378256)	(8, 0.0017189591163269348)	(9, 0.0)	(10, 0.0006797191276979057)	(15, 0.0005106319727912366)	(20, 0.00012751755536150793)	(25, 0.00011965303652863958)	(30, 6.179264797253688e-05)	(35, 6.572490738897105e-05)	(40, 3.707558878352213e-05)	(45, 0.0006628665873417592)	(50, 0.0004392895519502167)	(55, 8.482445312593699e-05)	(60, 0.00023874432171207431)	(65, 0.00018987195467924967)	(70, 0.00094149525456338)	(75, 0.0001657166468354398)	(80, 1.7976043046556183e-05)	(85, 0.00015672862531216172)	(90, 0.00010729450693413221)	(95, 0.0)	(100, 0.00028424618067366964)	(105, 0.00024492358650932795)	(110, 0.0005538868263720123)	(115, 0.0002466088405449426)	(120, 0.0003218835208023966)	(125, 5.055762106843926e-06)	(130, 0.00028536968336407935)	(135, 0.00017526641970392278)	(140, 5.055762106843926e-06)	(145, 4.774886434241485e-05)	(150, 0.0)
SRR8146976_1	(1, 1.5412973720258167)	(2, 0.02092892221684351)	(3, 0.0018126035292300514)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.199081534895872e-05)	(10, 6.998469224826453e-07)	(15, 8.398163069791745e-06)	(20, 0.00031353142127222514)	(25, 0.0020652482682462867)	(30, 0.0003163308089621557)	(35, 0.0012562252258563483)	(40, 0.002398375403348026)	(45, 0.0027699941191863106)	(50, 0.002869372382178846)	(55, 0.002352185506464171)	(60, 0.0003891148889003508)	(65, 0.0010749648729333433)	(70, 0.0038785516443988204)	(75, 6.928484532578189e-05)	(80, 2.7993876899305813e-06)	(85, 0.0005871715679629394)	(90, 0.0028812697798610513)	(95, 0.0016733339916560053)	(100, 0.00015816540448107785)	(105, 0.0005654763133659775)	(110, 0.004251570054082071)	(115, 0.0002400474944115474)	(120, 0.0006732527394283049)	(125, 6.998469224826453e-07)	(130, 0.00035132315508628795)	(135, 3.07932645892364e-05)	(140, 0.0005073890187999179)	(145, 0.0023668822918363067)	(150, 0.0)
SRR8146976_2	(1, 1.1762117272089077)	(2, 0.030327866385785437)	(3, 1.049770383723968e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0027853907514809287)	(7, 0.0005143874880247444)	(8, 0.0013926953757404644)	(9, 0.0)	(10, 0.005369925436209338)	(15, 0.0014283875687870792)	(20, 0.0011477489528715383)	(25, 0.0014829756287407256)	(30, 0.001846896028431701)	(35, 0.001070065944475965)	(40, 0.0013353079280968873)	(45, 0.002999543909760618)	(50, 0.003692392363018437)	(55, 0.0005220858041720534)	(60, 0.0009084013053824736)	(65, 0.002056150258254012)	(70, 0.0015060705771826528)	(75, 0.0025845346847284093)	(80, 0.0011022589029101666)	(85, 0.0026055300924028887)	(90, 0.00029393570744271107)	(95, 1.3996938449652906e-06)	(100, 0.0020904427574556616)	(105, 0.0)	(110, 1.049770383723968e-05)	(115, 0.0017223232762297901)	(120, 0.0)	(125, 6.578561071336866e-05)	(130, 0.0014773768533608645)	(135, 0.0012051364005151153)	(140, 5.0388978418750465e-05)	(145, 0.0022381104580995)	(150, 0.0)
