Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR8146972_1	(1, 30.839019823229943)	(2, 31.478186097279746)	(3, 35.209395008696774)	(4, 35.81527549069173)	(5, 36.1176604344195)	(6, 39.47951433553571)	(7, 39.6392882614669)	(8, 39.6995603362546)	(9, 39.65483988098628)	(10, 39.67930846940949)	(15, 39.58743041800741)	(20, 39.47997158143631)	(25, 39.31639162611863)	(30, 39.16930193790068)	(35, 39.11411842667361)	(40, 39.02913997772292)	(45, 38.90601719506213)	(50, 38.83585551870379)	(55, 38.79384409964149)	(60, 38.685829086876026)	(65, 38.568698658669426)	(70, 38.58169412360134)	(75, 38.29737913824734)	(80, 38.65842678713305)	(85, 38.57176675024385)	(90, 38.48311583183168)	(95, 38.373112969833294)	(100, 38.23687105021791)	(105, 38.05123831144658)	(110, 37.93806102996419)	(115, 37.72837027777132)	(120, 37.393201429937164)	(125, 37.17840576618517)	(130, 37.22093953749153)	(135, 36.89312363411905)	(140, 36.68135890540189)	(145, 36.28725076214669)	(150, 36.25462355852321)
SRR8146972_2	(1, 30.5743285519222)	(2, 30.86365626428825)	(3, 34.148810000111695)	(4, 34.888829948039074)	(5, 35.21117343948302)	(6, 38.232489815918385)	(7, 38.51562488155117)	(8, 38.41826035542614)	(9, 38.51375101419665)	(10, 38.526400475791206)	(15, 38.306838425633536)	(20, 38.21721443509224)	(25, 38.05836515254195)	(30, 38.035325622356474)	(35, 37.88234869174813)	(40, 37.81130702870549)	(45, 37.849411195559085)	(50, 37.73767067755386)	(55, 37.52783778859628)	(60, 37.46233770885218)	(65, 37.63152433183873)	(70, 37.56931802222178)	(75, 37.04455339366541)	(80, 37.49449321845544)	(85, 37.34578518092756)	(90, 37.21164564175141)	(95, 37.10729407482103)	(100, 36.82683113055895)	(105, 36.58546428553772)	(110, 36.26156744858611)	(115, 35.91930143801228)	(120, 35.490188611736684)	(125, 35.15817153642804)	(130, 34.783145704283235)	(135, 34.36873951401693)	(140, 33.83551255498086)	(145, 33.37367626531733)	(150, 33.15730214744883)
SRR8146973_1	(1, 30.886986276909806)	(2, 31.483071460645853)	(3, 35.27375795116359)	(4, 35.923633291353546)	(5, 36.11766777993632)	(6, 39.43755424164181)	(7, 39.63721963904478)	(8, 39.723796651354206)	(9, 39.77172803818762)	(10, 39.66681410147214)	(15, 39.63532523095412)	(20, 39.52314473813459)	(25, 39.35660531013402)	(30, 39.188358736294404)	(35, 39.12313805845885)	(40, 39.09084308698525)	(45, 39.02969891404955)	(50, 38.98762406449478)	(55, 38.88719193574025)	(60, 38.74819141706776)	(65, 38.71616884913264)	(70, 38.78153827264799)	(75, 38.40834848429338)	(80, 38.72970806028954)	(85, 38.72940146606449)	(90, 38.6514499392858)	(95, 38.662605894186356)	(100, 38.57777371728032)	(105, 38.56237670034255)	(110, 38.47866355708001)	(115, 38.284608075230615)	(120, 38.112830856123054)	(125, 37.94068516181168)	(130, 37.968479217403406)	(135, 37.78719020365117)	(140, 37.609430267900976)	(145, 37.46064939113599)	(150, 37.273182752587445)
SRR8146973_2	(1, 30.539406197646052)	(2, 31.00592892067399)	(3, 34.312753580082095)	(4, 35.10475203409862)	(5, 35.423916454664074)	(6, 38.4840261048668)	(7, 38.65898904929332)	(8, 38.61410544524564)	(9, 38.734664165711244)	(10, 38.71831905699634)	(15, 38.525346717822764)	(20, 38.303920157112906)	(25, 38.224677972398595)	(30, 38.16164030512874)	(35, 38.03311685497039)	(40, 37.963202869241705)	(45, 37.87474553688501)	(50, 37.85281582598513)	(55, 37.65584969422555)	(60, 37.72493279769081)	(65, 37.77622647304706)	(70, 37.71136317810529)	(75, 37.32766286502512)	(80, 37.78793856444862)	(85, 37.67981164586719)	(90, 37.56811636932037)	(95, 37.4204739521996)	(100, 37.31404327799506)	(105, 37.117676344957765)	(110, 36.92332816607883)	(115, 36.594014166175356)	(120, 36.43922830139865)	(125, 36.20125313608607)	(130, 35.865399386632276)	(135, 35.47635788916116)	(140, 35.014618681456874)	(145, 34.62361129468974)	(150, 34.47120722878557)
SRR8146974_1	(1, 30.88410571560519)	(2, 31.475250445109168)	(3, 35.25977440988396)	(4, 35.915431558894404)	(5, 36.11549187143034)	(6, 39.424236378837826)	(7, 39.62540087776451)	(8, 39.708905478239984)	(9, 39.757462857548774)	(10, 39.65210595412233)	(15, 39.62000502049206)	(20, 39.50138583593889)	(25, 39.33468041117892)	(30, 39.183657420278514)	(35, 39.1274564420364)	(40, 39.07644301949027)	(45, 39.01021152613161)	(50, 38.966223816653056)	(55, 38.86042339219533)	(60, 38.72146788323581)	(65, 38.69016022236077)	(70, 38.75556425212018)	(75, 38.382116918061605)	(80, 38.70656934294204)	(85, 38.707305775889495)	(90, 38.62816671658832)	(95, 38.63886319932734)	(100, 38.553724332974326)	(105, 38.53815980247122)	(110, 38.45083831799229)	(115, 38.25645498995605)	(120, 38.08427584540532)	(125, 37.90949432871021)	(130, 37.9373582855158)	(135, 37.75310679155801)	(140, 37.57137634014486)	(145, 37.422437855741116)	(150, 37.234457900813894)
SRR8146974_2	(1, 30.55086610828774)	(2, 30.98451273346368)	(3, 34.32715391941559)	(4, 35.0835177855491)	(5, 35.42609951161866)	(6, 38.47291527539906)	(7, 38.640567439265865)	(8, 38.6862326571461)	(9, 38.73344575184974)	(10, 38.714211383382725)	(15, 38.51849017975998)	(20, 38.275747378393746)	(25, 38.199677584011155)	(30, 38.13398833880467)	(35, 37.99958762058801)	(40, 37.925144378673735)	(45, 37.84147017354239)	(50, 37.81528246027488)	(55, 37.612343182677435)	(60, 37.68011456276136)	(65, 37.73151435596181)	(70, 37.66161769447045)	(75, 37.283642018870246)	(80, 37.74125220197082)	(85, 37.63279174678764)	(90, 37.51912731526858)	(95, 37.37003740297642)	(100, 37.25980629686931)	(105, 37.062498502562434)	(110, 36.86399123923853)	(115, 36.529420458982294)	(120, 36.37356695966234)	(125, 36.12771616257665)	(130, 35.78570686633743)	(135, 35.38900478923095)	(140, 34.92028923929438)	(145, 34.518570684939725)	(150, 34.36844437504008)
SRR8146975_1	(1, 30.963961010973783)	(2, 31.508152992192414)	(3, 35.314584741749286)	(4, 35.93358051516025)	(5, 36.149747994133406)	(6, 39.56872644313289)	(7, 39.64636710770608)	(8, 39.75536271006376)	(9, 39.76228008804104)	(10, 39.743289859115855)	(15, 39.66822498736832)	(20, 39.57609732858867)	(25, 39.40532179630891)	(30, 39.320765416542415)	(35, 39.21495198388245)	(40, 39.170003416290804)	(45, 39.06109849183527)	(50, 39.01811239695058)	(55, 38.974314650017256)	(60, 38.75665761994212)	(65, 38.679500348019005)	(70, 38.77438371172764)	(75, 38.46979395325796)	(80, 38.81079671479949)	(85, 38.735919782582)	(90, 38.61642578909422)	(95, 38.52997708812876)	(100, 38.41444469994768)	(105, 38.28625364966338)	(110, 38.1697801257486)	(115, 37.795638337855294)	(120, 37.447993984541895)	(125, 37.28180966847655)	(130, 37.19631041154718)	(135, 36.92905595636046)	(140, 36.6392550548001)	(145, 36.37258943860846)	(150, 36.13678634020712)
SRR8146975_2	(1, 30.6710168129088)	(2, 30.8878946826331)	(3, 34.32799897064684)	(4, 35.04079289404771)	(5, 35.271631604816015)	(6, 38.363115732489625)	(7, 38.48496794127204)	(8, 38.49073760507594)	(9, 38.6119815214142)	(10, 38.523572510484456)	(15, 38.390390147825144)	(20, 38.308653641843804)	(25, 38.22350694005869)	(30, 38.166452220899394)	(35, 38.07290839821351)	(40, 38.00046389987838)	(45, 37.954329750455166)	(50, 37.986179675437484)	(55, 37.7983618151096)	(60, 37.780844515064075)	(65, 37.85225334614913)	(70, 37.702938951026546)	(75, 37.350897977782225)	(80, 37.79253727381679)	(85, 37.66126583194349)	(90, 37.55183961909214)	(95, 37.35793525596664)	(100, 37.24967931160519)	(105, 36.902930507903825)	(110, 36.532211875417815)	(115, 36.220827560284974)	(120, 35.845068327360934)	(125, 35.49833309557207)	(130, 35.075329597068965)	(135, 34.69725481948247)	(140, 34.28419214581177)	(145, 33.849933897314834)	(150, 33.55696454964212)
SRR8146976_1	(1, 30.96553579335592)	(2, 31.37499540725457)	(3, 34.96941934890582)	(4, 35.675374360366156)	(5, 35.95415166340666)	(6, 39.24030605285706)	(7, 39.377897252533955)	(8, 39.5005773387187)	(9, 39.47370444162748)	(10, 39.48284255284842)	(15, 39.41029867437096)	(20, 39.31972396777653)	(25, 39.0682005234995)	(30, 38.941462332943914)	(35, 38.809521718314556)	(40, 38.65635962445934)	(45, 38.454373472890275)	(50, 38.15208453255019)	(55, 37.8070991492031)	(60, 37.52080176003103)	(65, 37.2236315420728)	(70, 37.066067635026194)	(75, 36.20103961560488)	(80, 36.75946134601978)	(85, 36.477113647931795)	(90, 36.041132914997505)	(95, 35.54244843125463)	(100, 35.22851462599586)	(105, 34.773732729440084)	(110, 34.374605389563136)	(115, 33.72212328797322)	(120, 32.91655625065129)	(125, 32.33718845176995)	(130, 31.975803884416365)	(135, 31.407033769503595)	(140, 30.911910722767608)	(145, 30.36748425816821)	(150, 29.887677942636486)
SRR8146976_2	(1, 30.532790172805502)	(2, 30.704153640474217)	(3, 33.88495072972689)	(4, 34.697886266336965)	(5, 35.075985599669785)	(6, 37.91100407107953)	(7, 38.19710117805932)	(8, 38.16104604439871)	(9, 38.22389338280038)	(10, 38.26189963369312)	(15, 37.99837623616586)	(20, 37.892213713094534)	(25, 37.702833232287105)	(30, 37.56662523106321)	(35, 37.37884854745722)	(40, 37.1947393416638)	(45, 37.00967902990579)	(50, 36.64356751447755)	(55, 36.34713404637004)	(60, 36.22741137331032)	(65, 35.92134519816481)	(70, 35.56831357677135)	(75, 34.79920384714252)	(80, 35.37347442293947)	(85, 34.922696273644064)	(90, 34.525528281199044)	(95, 34.009797213055585)	(100, 33.45799280123459)	(105, 32.928858467787336)	(110, 32.080640309545096)	(115, 31.492483231142852)	(120, 30.962364220074143)	(125, 30.426954667205642)	(130, 29.93225201851599)	(135, 29.177893655320776)	(140, 28.691171746003995)	(145, 27.951463985282498)	(150, 27.49204393023114)
