Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR8146972_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 5.0)	(8.0, 11.5)	(9.0, 21.0)	(10.0, 38.5)	(11.0, 75.5)	(12.0, 126.5)	(13.0, 209.0)	(14.0, 329.5)	(15.0, 516.5)	(16.0, 868.0)	(17.0, 1385.5)	(18.0, 2197.5)	(19.0, 3538.5)	(20.0, 5568.5)	(21.0, 8455.5)	(22.0, 12408.0)	(23.0, 17813.0)	(24.0, 24808.0)	(25.0, 33262.5)	(26.0, 43320.0)	(27.0, 55320.5)	(28.0, 69134.0)	(29.0, 84687.0)	(30.0, 102095.0)	(31.0, 121461.0)	(32.0, 142263.5)	(33.0, 165025.5)	(34.0, 190009.0)	(35.0, 217736.0)	(36.0, 249544.0)	(37.0, 284911.0)	(38.0, 323890.5)	(39.0, 368265.5)	(40.0, 416146.5)	(41.0, 468939.5)	(42.0, 530139.5)	(43.0, 594966.5)	(44.0, 662162.0)	(45.0, 732565.0)	(46.0, 805955.0)	(47.0, 879424.0)	(48.0, 949278.5)	(49.0, 1009571.5)	(50.0, 1059658.5)	(51.0, 1097893.0)	(52.0, 1120575.5)	(53.0, 1128086.0)	(54.0, 1120985.0)	(55.0, 1103462.5)	(56.0, 1076031.0)	(57.0, 1041455.0)	(58.0, 1001074.0)	(59.0, 954284.5)	(60.0, 904835.0)	(61.0, 851225.5)	(62.0, 791609.5)	(63.0, 728964.5)	(64.0, 661593.5)	(65.0, 589343.0)	(66.0, 515357.5)	(67.0, 441272.5)	(68.0, 368988.5)	(69.0, 301080.0)	(70.0, 239527.0)	(71.0, 185238.5)	(72.0, 138908.5)	(73.0, 101558.0)	(74.0, 72061.5)	(75.0, 49416.0)	(76.0, 32847.0)	(77.0, 20932.5)	(78.0, 12754.0)	(79.0, 7511.0)	(80.0, 4301.0)	(81.0, 2342.0)	(82.0, 1242.5)	(83.0, 634.0)	(84.0, 312.5)	(85.0, 145.0)	(86.0, 58.0)	(87.0, 24.0)	(88.0, 16.5)	(89.0, 9.0)	(90.0, 2.5)	(91.0, 5.5)	(92.0, 6.5)	(93.0, 3.5)	(94.0, 3.0)	(95.0, 3.5)	(96.0, 2.0)	(97.0, 1.5)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.5)
SRR8146972_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 3.0)	(6.0, 4.5)	(7.0, 4.5)	(8.0, 11.0)	(9.0, 28.5)	(10.0, 53.0)	(11.0, 83.5)	(12.0, 127.0)	(13.0, 201.0)	(14.0, 327.0)	(15.0, 518.5)	(16.0, 839.0)	(17.0, 1360.0)	(18.0, 2174.5)	(19.0, 3464.0)	(20.0, 5340.5)	(21.0, 8180.5)	(22.0, 12185.5)	(23.0, 17440.5)	(24.0, 24256.0)	(25.0, 32619.5)	(26.0, 42524.0)	(27.0, 54499.5)	(28.0, 68461.5)	(29.0, 83742.0)	(30.0, 100596.0)	(31.0, 119951.5)	(32.0, 141222.0)	(33.0, 164326.0)	(34.0, 189915.0)	(35.0, 217093.0)	(36.0, 248550.5)	(37.0, 284484.5)	(38.0, 323366.0)	(39.0, 367463.0)	(40.0, 416654.0)	(41.0, 469569.0)	(42.0, 528027.0)	(43.0, 592225.0)	(44.0, 660205.5)	(45.0, 731291.0)	(46.0, 804074.5)	(47.0, 876427.0)	(48.0, 945421.5)	(49.0, 1006667.0)	(50.0, 1057378.5)	(51.0, 1094174.0)	(52.0, 1116513.0)	(53.0, 1124672.0)	(54.0, 1118395.0)	(55.0, 1100837.5)	(56.0, 1074447.5)	(57.0, 1039853.5)	(58.0, 998851.5)	(59.0, 954101.5)	(60.0, 904619.0)	(61.0, 851054.0)	(62.0, 792291.5)	(63.0, 729876.0)	(64.0, 663521.5)	(65.0, 592237.5)	(66.0, 518723.5)	(67.0, 445458.0)	(68.0, 374262.5)	(69.0, 306302.5)	(70.0, 244009.5)	(71.0, 189271.5)	(72.0, 143196.0)	(73.0, 105269.0)	(74.0, 75397.5)	(75.0, 52187.5)	(76.0, 34740.0)	(77.0, 22468.0)	(78.0, 14043.0)	(79.0, 8482.5)	(80.0, 5055.0)	(81.0, 2987.5)	(82.0, 1675.0)	(83.0, 969.0)	(84.0, 632.0)	(85.0, 405.0)	(86.0, 289.5)	(87.0, 222.0)	(88.0, 186.5)	(89.0, 174.0)	(90.0, 166.0)	(91.0, 159.5)	(92.0, 130.5)	(93.0, 109.0)	(94.0, 97.5)	(95.0, 74.0)	(96.0, 61.0)	(97.0, 47.0)	(98.0, 23.0)	(99.0, 12.5)	(100.0, 6.0)
SRR8146973_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 2.5)	(5.0, 5.0)	(6.0, 8.5)	(7.0, 19.5)	(8.0, 35.5)	(9.0, 62.0)	(10.0, 104.5)	(11.0, 176.5)	(12.0, 345.5)	(13.0, 609.0)	(14.0, 1016.0)	(15.0, 1658.0)	(16.0, 2635.0)	(17.0, 4162.0)	(18.0, 6102.0)	(19.0, 8735.0)	(20.0, 12336.0)	(21.0, 16997.5)	(22.0, 22858.0)	(23.0, 29363.0)	(24.0, 36955.5)	(25.0, 46249.0)	(26.0, 56858.5)	(27.0, 69215.0)	(28.0, 82212.5)	(29.0, 96225.0)	(30.0, 112691.5)	(31.0, 130124.0)	(32.0, 149095.5)	(33.0, 171024.0)	(34.0, 194955.5)	(35.0, 220114.0)	(36.0, 247050.5)	(37.0, 276210.5)	(38.0, 307995.0)	(39.0, 342342.0)	(40.0, 377855.5)	(41.0, 415371.5)	(42.0, 455031.5)	(43.0, 496008.0)	(44.0, 541931.0)	(45.0, 591660.5)	(46.0, 643662.5)	(47.0, 699095.5)	(48.0, 757987.5)	(49.0, 820363.5)	(50.0, 886875.5)	(51.0, 958308.0)	(52.0, 1033966.5)	(53.0, 1109665.0)	(54.0, 1185307.5)	(55.0, 1263083.0)	(56.0, 1336664.5)	(57.0, 1404846.5)	(58.0, 1462868.5)	(59.0, 1503009.5)	(60.0, 1524143.5)	(61.0, 1519222.0)	(62.0, 1484859.0)	(63.0, 1419453.0)	(64.0, 1326728.5)	(65.0, 1213102.5)	(66.0, 1083462.5)	(67.0, 943993.0)	(68.0, 799348.0)	(69.0, 658924.5)	(70.0, 529550.5)	(71.0, 413468.0)	(72.0, 314414.5)	(73.0, 234090.5)	(74.0, 169903.5)	(75.0, 120051.0)	(76.0, 82602.0)	(77.0, 55893.0)	(78.0, 37205.0)	(79.0, 24188.5)	(80.0, 15408.0)	(81.0, 9620.0)	(82.0, 5792.0)	(83.0, 3319.0)	(84.0, 1880.0)	(85.0, 996.5)	(86.0, 450.5)	(87.0, 186.5)	(88.0, 79.5)	(89.0, 37.0)	(90.0, 16.0)	(91.0, 5.5)	(92.0, 2.0)	(93.0, 2.0)	(94.0, 2.5)	(95.0, 2.0)	(96.0, 1.5)	(97.0, 1.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
SRR8146973_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 1.0)	(4.0, 3.0)	(5.0, 6.5)	(6.0, 8.5)	(7.0, 11.0)	(8.0, 30.0)	(9.0, 66.0)	(10.0, 108.0)	(11.0, 200.0)	(12.0, 348.5)	(13.0, 596.5)	(14.0, 948.0)	(15.0, 1522.5)	(16.0, 2570.0)	(17.0, 3945.0)	(18.0, 5748.5)	(19.0, 8400.0)	(20.0, 11982.0)	(21.0, 16529.5)	(22.0, 22080.5)	(23.0, 28627.0)	(24.0, 36085.5)	(25.0, 44914.0)	(26.0, 55808.5)	(27.0, 67970.0)	(28.0, 80948.5)	(29.0, 95135.5)	(30.0, 111284.0)	(31.0, 128690.5)	(32.0, 147680.5)	(33.0, 169251.5)	(34.0, 193112.5)	(35.0, 218318.0)	(36.0, 246047.5)	(37.0, 274885.5)	(38.0, 305769.0)	(39.0, 340416.0)	(40.0, 376172.0)	(41.0, 414033.5)	(42.0, 453765.5)	(43.0, 495751.0)	(44.0, 540499.0)	(45.0, 589190.5)	(46.0, 642004.0)	(47.0, 697215.5)	(48.0, 755935.5)	(49.0, 818424.5)	(50.0, 883780.0)	(51.0, 954411.0)	(52.0, 1028868.0)	(53.0, 1103652.0)	(54.0, 1180968.0)	(55.0, 1258542.5)	(56.0, 1332364.0)	(57.0, 1400042.5)	(58.0, 1455019.0)	(59.0, 1494685.5)	(60.0, 1516214.0)	(61.0, 1512691.0)	(62.0, 1480585.5)	(63.0, 1417995.0)	(64.0, 1329087.5)	(65.0, 1217378.0)	(66.0, 1088899.5)	(67.0, 951505.5)	(68.0, 808636.5)	(69.0, 668889.0)	(70.0, 540491.0)	(71.0, 425104.5)	(72.0, 323845.0)	(73.0, 242075.0)	(74.0, 177421.5)	(75.0, 126032.5)	(76.0, 87894.0)	(77.0, 59885.5)	(78.0, 39933.0)	(79.0, 26486.0)	(80.0, 17268.5)	(81.0, 10944.0)	(82.0, 6822.5)	(83.0, 4159.5)	(84.0, 2437.0)	(85.0, 1391.5)	(86.0, 793.5)	(87.0, 496.5)	(88.0, 342.5)	(89.0, 274.0)	(90.0, 236.0)	(91.0, 204.5)	(92.0, 184.0)	(93.0, 146.5)	(94.0, 124.5)	(95.0, 101.5)	(96.0, 72.5)	(97.0, 52.0)	(98.0, 27.5)	(99.0, 11.0)	(100.0, 4.0)
SRR8146974_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.5)	(3.0, 3.0)	(4.0, 7.5)	(5.0, 14.0)	(6.0, 17.5)	(7.0, 25.5)	(8.0, 49.5)	(9.0, 103.5)	(10.0, 210.0)	(11.0, 405.0)	(12.0, 707.5)	(13.0, 1239.5)	(14.0, 2131.5)	(15.0, 3412.0)	(16.0, 5350.0)	(17.0, 7969.0)	(18.0, 11297.5)	(19.0, 15768.5)	(20.0, 21179.0)	(21.0, 27428.0)	(22.0, 34969.0)	(23.0, 43110.5)	(24.0, 51103.0)	(25.0, 59604.0)	(26.0, 69379.0)	(27.0, 79135.5)	(28.0, 88136.0)	(29.0, 97634.0)	(30.0, 107986.5)	(31.0, 118668.0)	(32.0, 129880.5)	(33.0, 142337.0)	(34.0, 155835.5)	(35.0, 171287.5)	(36.0, 189850.5)	(37.0, 209797.5)	(38.0, 231184.5)	(39.0, 255909.0)	(40.0, 283294.5)	(41.0, 313693.5)	(42.0, 347509.0)	(43.0, 384791.5)	(44.0, 427461.5)	(45.0, 476932.5)	(46.0, 531648.0)	(47.0, 593405.0)	(48.0, 662912.0)	(49.0, 738623.0)	(50.0, 821551.5)	(51.0, 912155.0)	(52.0, 1010160.0)	(53.0, 1111199.0)	(54.0, 1216125.5)	(55.0, 1325587.0)	(56.0, 1432394.0)	(57.0, 1529611.5)	(58.0, 1612023.5)	(59.0, 1676447.0)	(60.0, 1714180.0)	(61.0, 1716640.0)	(62.0, 1685909.5)	(63.0, 1621622.0)	(64.0, 1520939.5)	(65.0, 1389751.5)	(66.0, 1237015.0)	(67.0, 1071007.5)	(68.0, 901871.0)	(69.0, 736498.0)	(70.0, 583090.5)	(71.0, 449049.5)	(72.0, 335543.5)	(73.0, 242612.5)	(74.0, 169211.0)	(75.0, 114206.5)	(76.0, 74642.5)	(77.0, 47130.5)	(78.0, 28932.5)	(79.0, 17036.5)	(80.0, 9680.5)	(81.0, 5476.5)	(82.0, 3022.5)	(83.0, 1599.5)	(84.0, 806.0)	(85.0, 388.5)	(86.0, 169.0)	(87.0, 73.5)	(88.0, 31.5)	(89.0, 17.0)	(90.0, 10.0)	(91.0, 6.0)	(92.0, 4.0)	(93.0, 4.5)	(94.0, 4.0)	(95.0, 2.5)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
SRR8146974_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.5)	(3.0, 3.5)	(4.0, 5.0)	(5.0, 11.5)	(6.0, 20.5)	(7.0, 31.0)	(8.0, 53.0)	(9.0, 97.0)	(10.0, 183.0)	(11.0, 364.0)	(12.0, 669.0)	(13.0, 1163.5)	(14.0, 1962.0)	(15.0, 3246.0)	(16.0, 5165.0)	(17.0, 7764.5)	(18.0, 11149.0)	(19.0, 15403.0)	(20.0, 20513.5)	(21.0, 26483.0)	(22.0, 33723.5)	(23.0, 42092.5)	(24.0, 50560.5)	(25.0, 59065.5)	(26.0, 68543.5)	(27.0, 78057.5)	(28.0, 87505.0)	(29.0, 97160.5)	(30.0, 107556.0)	(31.0, 118420.5)	(32.0, 129422.5)	(33.0, 141776.5)	(34.0, 155269.0)	(35.0, 171175.0)	(36.0, 189689.0)	(37.0, 209558.0)	(38.0, 230880.5)	(39.0, 255223.5)	(40.0, 282973.5)	(41.0, 313323.0)	(42.0, 346731.5)	(43.0, 384634.5)	(44.0, 427337.5)	(45.0, 475568.0)	(46.0, 530709.0)	(47.0, 593149.5)	(48.0, 661977.0)	(49.0, 736086.5)	(50.0, 817108.5)	(51.0, 907389.0)	(52.0, 1005482.5)	(53.0, 1105958.0)	(54.0, 1209317.0)	(55.0, 1317585.5)	(56.0, 1425190.5)	(57.0, 1521708.0)	(58.0, 1603247.5)	(59.0, 1666609.0)	(60.0, 1703719.0)	(61.0, 1708024.0)	(62.0, 1680163.0)	(63.0, 1617770.0)	(64.0, 1519760.5)	(65.0, 1392679.5)	(66.0, 1242583.0)	(67.0, 1078869.5)	(68.0, 910651.5)	(69.0, 747270.0)	(70.0, 595337.0)	(71.0, 461233.5)	(72.0, 346323.0)	(73.0, 251882.5)	(74.0, 177898.5)	(75.0, 121369.0)	(76.0, 80190.5)	(77.0, 51143.5)	(78.0, 31790.5)	(79.0, 19173.5)	(80.0, 11331.0)	(81.0, 6683.0)	(82.0, 3921.5)	(83.0, 2243.5)	(84.0, 1342.0)	(85.0, 820.0)	(86.0, 532.0)	(87.0, 393.0)	(88.0, 300.0)	(89.0, 235.5)	(90.0, 212.0)	(91.0, 199.5)	(92.0, 185.0)	(93.0, 163.5)	(94.0, 134.0)	(95.0, 103.5)	(96.0, 63.5)	(97.0, 42.0)	(98.0, 32.0)	(99.0, 12.0)	(100.0, 4.5)
SRR8146975_1	(0.0, 0.0)	(1.0, 0.5)	(2.0, 0.5)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 2.5)	(6.0, 4.0)	(7.0, 6.0)	(8.0, 18.0)	(9.0, 37.0)	(10.0, 60.0)	(11.0, 123.0)	(12.0, 252.5)	(13.0, 466.0)	(14.0, 770.5)	(15.0, 1337.5)	(16.0, 2476.5)	(17.0, 4367.5)	(18.0, 7409.0)	(19.0, 11970.0)	(20.0, 18493.5)	(21.0, 28303.0)	(22.0, 42142.5)	(23.0, 59421.5)	(24.0, 80047.5)	(25.0, 105892.0)	(26.0, 137714.0)	(27.0, 175236.5)	(28.0, 216837.5)	(29.0, 260951.0)	(30.0, 308860.5)	(31.0, 361497.0)	(32.0, 417978.5)	(33.0, 480146.5)	(34.0, 550196.0)	(35.0, 622032.0)	(36.0, 697762.5)	(37.0, 779815.0)	(38.0, 866330.0)	(39.0, 956257.5)	(40.0, 1042311.0)	(41.0, 1125298.0)	(42.0, 1208855.0)	(43.0, 1285718.0)	(44.0, 1351617.0)	(45.0, 1401742.0)	(46.0, 1436800.0)	(47.0, 1464131.5)	(48.0, 1475528.5)	(49.0, 1466629.5)	(50.0, 1434576.0)	(51.0, 1388628.5)	(52.0, 1332486.0)	(53.0, 1258539.0)	(54.0, 1175969.5)	(55.0, 1088089.5)	(56.0, 996524.5)	(57.0, 902078.0)	(58.0, 810148.5)	(59.0, 722347.5)	(60.0, 639580.5)	(61.0, 565957.5)	(62.0, 496239.0)	(63.0, 432372.5)	(64.0, 374282.5)	(65.0, 321131.5)	(66.0, 272810.5)	(67.0, 226004.0)	(68.0, 182668.0)	(69.0, 143808.0)	(70.0, 110769.5)	(71.0, 84548.0)	(72.0, 62428.5)	(73.0, 44160.0)	(74.0, 30200.5)	(75.0, 20150.0)	(76.0, 13036.0)	(77.0, 8096.0)	(78.0, 4965.5)	(79.0, 2924.5)	(80.0, 1628.0)	(81.0, 856.5)	(82.0, 484.5)	(83.0, 297.5)	(84.0, 160.5)	(85.0, 73.0)	(86.0, 27.5)	(87.0, 13.5)	(88.0, 10.0)	(89.0, 6.0)	(90.0, 2.5)	(91.0, 2.5)	(92.0, 2.0)	(93.0, 1.0)	(94.0, 1.0)	(95.0, 1.5)	(96.0, 1.5)	(97.0, 2.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 1.5)
SRR8146975_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 2.5)	(5.0, 3.0)	(6.0, 5.0)	(7.0, 7.0)	(8.0, 15.5)	(9.0, 30.5)	(10.0, 64.0)	(11.0, 135.0)	(12.0, 246.0)	(13.0, 451.5)	(14.0, 764.0)	(15.0, 1353.5)	(16.0, 2398.0)	(17.0, 4160.5)	(18.0, 7261.0)	(19.0, 11800.0)	(20.0, 18012.5)	(21.0, 27300.5)	(22.0, 40563.0)	(23.0, 57433.5)	(24.0, 78147.5)	(25.0, 103776.0)	(26.0, 134897.5)	(27.0, 171435.5)	(28.0, 212590.0)	(29.0, 256416.0)	(30.0, 305256.5)	(31.0, 358503.5)	(32.0, 414645.5)	(33.0, 477707.0)	(34.0, 547881.5)	(35.0, 618731.0)	(36.0, 695055.0)	(37.0, 777113.5)	(38.0, 862491.0)	(39.0, 951555.0)	(40.0, 1036189.0)	(41.0, 1119883.0)	(42.0, 1203436.5)	(43.0, 1279997.5)	(44.0, 1348534.0)	(45.0, 1399913.0)	(46.0, 1435057.5)	(47.0, 1461213.0)	(48.0, 1471912.0)	(49.0, 1464106.0)	(50.0, 1436493.0)	(51.0, 1390237.5)	(52.0, 1332276.5)	(53.0, 1262449.0)	(54.0, 1179305.0)	(55.0, 1091140.5)	(56.0, 999882.0)	(57.0, 906963.0)	(58.0, 815821.5)	(59.0, 727735.0)	(60.0, 645752.0)	(61.0, 570437.5)	(62.0, 499711.5)	(63.0, 435912.0)	(64.0, 378793.5)	(65.0, 325678.5)	(66.0, 276128.0)	(67.0, 229620.5)	(68.0, 186287.0)	(69.0, 147729.5)	(70.0, 114628.5)	(71.0, 86984.5)	(72.0, 64670.0)	(73.0, 46533.5)	(74.0, 32307.0)	(75.0, 21699.0)	(76.0, 14185.5)	(77.0, 9104.0)	(78.0, 5752.0)	(79.0, 3532.5)	(80.0, 2183.5)	(81.0, 1294.5)	(82.0, 791.0)	(83.0, 534.0)	(84.0, 368.0)	(85.0, 258.5)	(86.0, 199.5)	(87.0, 180.0)	(88.0, 168.5)	(89.0, 149.5)	(90.0, 129.5)	(91.0, 112.5)	(92.0, 96.5)	(93.0, 87.0)	(94.0, 68.5)	(95.0, 48.5)	(96.0, 36.0)	(97.0, 18.5)	(98.0, 8.0)	(99.0, 4.5)	(100.0, 3.5)
SRR8146976_1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 1.0)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 3.5)	(7.0, 5.5)	(8.0, 8.5)	(9.0, 15.5)	(10.0, 26.5)	(11.0, 42.5)	(12.0, 79.5)	(13.0, 143.5)	(14.0, 251.5)	(15.0, 472.0)	(16.0, 929.5)	(17.0, 1661.0)	(18.0, 2697.0)	(19.0, 4278.5)	(20.0, 6670.5)	(21.0, 10212.0)	(22.0, 15504.0)	(23.0, 22883.5)	(24.0, 31967.0)	(25.0, 42569.0)	(26.0, 55626.5)	(27.0, 70694.0)	(28.0, 88079.0)	(29.0, 107233.5)	(30.0, 127069.5)	(31.0, 148940.0)	(32.0, 172772.5)	(33.0, 197896.0)	(34.0, 224607.5)	(35.0, 254008.0)	(36.0, 286640.5)	(37.0, 322458.0)	(38.0, 360992.5)	(39.0, 402250.5)	(40.0, 448679.5)	(41.0, 499141.5)	(42.0, 554327.0)	(43.0, 616591.5)	(44.0, 678814.0)	(45.0, 737864.5)	(46.0, 799562.0)	(47.0, 862176.0)	(48.0, 921099.5)	(49.0, 971906.5)	(50.0, 1010955.0)	(51.0, 1042916.5)	(52.0, 1063267.5)	(53.0, 1068971.5)	(54.0, 1066017.0)	(55.0, 1055786.0)	(56.0, 1039454.5)	(57.0, 1020396.0)	(58.0, 998721.5)	(59.0, 973490.0)	(60.0, 946490.5)	(61.0, 913116.0)	(62.0, 871565.0)	(63.0, 822685.0)	(64.0, 765082.5)	(65.0, 698899.0)	(66.0, 625667.5)	(67.0, 547242.5)	(68.0, 466325.0)	(69.0, 387207.0)	(70.0, 312511.0)	(71.0, 244164.5)	(72.0, 184864.5)	(73.0, 135012.0)	(74.0, 94985.0)	(75.0, 64812.5)	(76.0, 42162.0)	(77.0, 26583.5)	(78.0, 16313.0)	(79.0, 9706.0)	(80.0, 5763.0)	(81.0, 3257.0)	(82.0, 1707.5)	(83.0, 879.0)	(84.0, 437.0)	(85.0, 188.5)	(86.0, 90.0)	(87.0, 37.5)	(88.0, 14.5)	(89.0, 14.0)	(90.0, 12.5)	(91.0, 11.5)	(92.0, 8.5)	(93.0, 3.5)	(94.0, 5.0)	(95.0, 8.5)	(96.0, 8.0)	(97.0, 4.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.5)
SRR8146976_2	(0.0, 0.0)	(1.0, 1.0)	(2.0, 1.5)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 1.0)	(6.0, 2.5)	(7.0, 5.5)	(8.0, 11.5)	(9.0, 16.0)	(10.0, 27.5)	(11.0, 47.5)	(12.0, 85.5)	(13.0, 157.0)	(14.0, 255.0)	(15.0, 484.0)	(16.0, 927.0)	(17.0, 1614.5)	(18.0, 2615.0)	(19.0, 4048.5)	(20.0, 6347.0)	(21.0, 9994.5)	(22.0, 15086.0)	(23.0, 21893.5)	(24.0, 30814.5)	(25.0, 41212.0)	(26.0, 53841.0)	(27.0, 68873.5)	(28.0, 86387.5)	(29.0, 105709.5)	(30.0, 125611.5)	(31.0, 147717.5)	(32.0, 171424.0)	(33.0, 196144.0)	(34.0, 223413.0)	(35.0, 252952.0)	(36.0, 285625.0)	(37.0, 320332.5)	(38.0, 357872.0)	(39.0, 399958.0)	(40.0, 446715.0)	(41.0, 497731.5)	(42.0, 552767.5)	(43.0, 613501.0)	(44.0, 675692.0)	(45.0, 737075.0)	(46.0, 799480.0)	(47.0, 859595.0)	(48.0, 917241.0)	(49.0, 967436.5)	(50.0, 1005954.0)	(51.0, 1037302.0)	(52.0, 1058504.0)	(53.0, 1065880.5)	(54.0, 1062983.5)	(55.0, 1053908.0)	(56.0, 1038530.5)	(57.0, 1018627.5)	(58.0, 997184.5)	(59.0, 972059.5)	(60.0, 943759.0)	(61.0, 912210.0)	(62.0, 871854.5)	(63.0, 821543.0)	(64.0, 764309.0)	(65.0, 700185.0)	(66.0, 628219.5)	(67.0, 551983.5)	(68.0, 472932.5)	(69.0, 393983.5)	(70.0, 320046.0)	(71.0, 252238.5)	(72.0, 192103.5)	(73.0, 141608.0)	(74.0, 100933.0)	(75.0, 69496.5)	(76.0, 46513.0)	(77.0, 30358.0)	(78.0, 19255.5)	(79.0, 12144.5)	(80.0, 7552.0)	(81.0, 4588.0)	(82.0, 2770.5)	(83.0, 1695.0)	(84.0, 1131.0)	(85.0, 826.0)	(86.0, 642.0)	(87.0, 509.0)	(88.0, 449.0)	(89.0, 419.5)	(90.0, 376.5)	(91.0, 333.0)	(92.0, 276.5)	(93.0, 228.0)	(94.0, 200.0)	(95.0, 144.5)	(96.0, 79.5)	(97.0, 53.0)	(98.0, 31.0)	(99.0, 12.5)	(100.0, 6.0)
