Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR8146972_1	(14.0, 1.0)	(15.0, 6.0)	(16.0, 87.0)	(17.0, 253.0)	(18.0, 688.0)	(19.0, 2083.0)	(20.0, 5154.0)	(21.0, 11840.0)	(22.0, 23648.0)	(23.0, 43287.0)	(24.0, 71397.0)	(25.0, 110196.0)	(26.0, 158385.0)	(27.0, 215901.0)	(28.0, 281622.0)	(29.0, 353171.0)	(30.0, 428956.0)	(31.0, 511230.0)	(32.0, 599718.0)	(33.0, 702200.0)	(34.0, 824619.0)	(35.0, 980546.0)	(36.0, 1204861.0)	(37.0, 1556457.0)	(38.0, 2215963.0)	(39.0, 4054597.0)	(40.0, 12949229.0)			
SRR8146972_2	(11.0, 6.0)	(12.0, 35.0)	(13.0, 229.0)	(14.0, 845.0)	(15.0, 3777.0)	(16.0, 15187.0)	(17.0, 37784.0)	(18.0, 65683.0)	(19.0, 93528.0)	(20.0, 121930.0)	(21.0, 152783.0)	(22.0, 185779.0)	(23.0, 221006.0)	(24.0, 257585.0)	(25.0, 296251.0)	(26.0, 339186.0)	(27.0, 385486.0)	(28.0, 437382.0)	(29.0, 495232.0)	(30.0, 560261.0)	(31.0, 635433.0)	(32.0, 728051.0)	(33.0, 841506.0)	(34.0, 987796.0)	(35.0, 1188887.0)	(36.0, 1476948.0)	(37.0, 1930004.0)	(38.0, 2747872.0)	(39.0, 4707738.0)	(40.0, 8391905.0)
SRR8146973_1	(14.0, 2.0)	(15.0, 9.0)	(16.0, 46.0)	(17.0, 158.0)	(18.0, 448.0)	(19.0, 1349.0)	(20.0, 3732.0)	(21.0, 8744.0)	(22.0, 18246.0)	(23.0, 34485.0)	(24.0, 58803.0)	(25.0, 95155.0)	(26.0, 144515.0)	(27.0, 204338.0)	(28.0, 277191.0)	(29.0, 360662.0)	(30.0, 455123.0)	(31.0, 556429.0)	(32.0, 671328.0)	(33.0, 804487.0)	(34.0, 958994.0)	(35.0, 1163660.0)	(36.0, 1452185.0)	(37.0, 1902898.0)	(38.0, 2722763.0)	(39.0, 4967456.0)	(40.0, 17719311.0)			
SRR8146973_2	(12.0, 13.0)	(13.0, 190.0)	(14.0, 679.0)	(15.0, 2262.0)	(16.0, 9200.0)	(17.0, 28015.0)	(18.0, 54912.0)	(19.0, 84242.0)	(20.0, 114475.0)	(21.0, 146956.0)	(22.0, 183071.0)	(23.0, 221070.0)	(24.0, 263626.0)	(25.0, 309548.0)	(26.0, 359998.0)	(27.0, 415545.0)	(28.0, 478602.0)	(29.0, 549739.0)	(30.0, 631226.0)	(31.0, 727002.0)	(32.0, 845696.0)	(33.0, 992929.0)	(34.0, 1182943.0)	(35.0, 1441354.0)	(36.0, 1815725.0)	(37.0, 2401648.0)	(38.0, 3467863.0)	(39.0, 6093387.0)	(40.0, 11760601.0)	
SRR8146974_1	(13.0, 2.0)	(14.0, 3.0)	(15.0, 21.0)	(16.0, 101.0)	(17.0, 312.0)	(18.0, 758.0)	(19.0, 1846.0)	(20.0, 4350.0)	(21.0, 9633.0)	(22.0, 19212.0)	(23.0, 35839.0)	(24.0, 61430.0)	(25.0, 98914.0)	(26.0, 149936.0)	(27.0, 213656.0)	(28.0, 289576.0)	(29.0, 375196.0)	(30.0, 472034.0)	(31.0, 576767.0)	(32.0, 693338.0)	(33.0, 829098.0)	(34.0, 990770.0)	(35.0, 1199724.0)	(36.0, 1499600.0)	(37.0, 1963120.0)	(38.0, 2809155.0)	(39.0, 5114980.0)	(40.0, 18009468.0)		
SRR8146974_2	(11.0, 4.0)	(12.0, 19.0)	(13.0, 136.0)	(14.0, 632.0)	(15.0, 2087.0)	(16.0, 8922.0)	(17.0, 27982.0)	(18.0, 55240.0)	(19.0, 85421.0)	(20.0, 117751.0)	(21.0, 151962.0)	(22.0, 189127.0)	(23.0, 229791.0)	(24.0, 273450.0)	(25.0, 321585.0)	(26.0, 375521.0)	(27.0, 435024.0)	(28.0, 500144.0)	(29.0, 573560.0)	(30.0, 658981.0)	(31.0, 760086.0)	(32.0, 880564.0)	(33.0, 1033680.0)	(34.0, 1230986.0)	(35.0, 1500565.0)	(36.0, 1884676.0)	(37.0, 2487581.0)	(38.0, 3585703.0)	(39.0, 6257980.0)	(40.0, 11789679.0)
SRR8146975_1	(14.0, 1.0)	(15.0, 17.0)	(16.0, 65.0)	(17.0, 200.0)	(18.0, 697.0)	(19.0, 1977.0)	(20.0, 5190.0)	(21.0, 12141.0)	(22.0, 24516.0)	(23.0, 45709.0)	(24.0, 78150.0)	(25.0, 123291.0)	(26.0, 181289.0)	(27.0, 253300.0)	(28.0, 336463.0)	(29.0, 424247.0)	(30.0, 519258.0)	(31.0, 623110.0)	(32.0, 739805.0)	(33.0, 870999.0)	(34.0, 1031662.0)	(35.0, 1242214.0)	(36.0, 1543122.0)	(37.0, 2023480.0)	(38.0, 2924497.0)	(39.0, 5485908.0)	(40.0, 17111633.0)			
SRR8146975_2	(11.0, 1.0)	(12.0, 32.0)	(13.0, 315.0)	(14.0, 1162.0)	(15.0, 4448.0)	(16.0, 17817.0)	(17.0, 44787.0)	(18.0, 75746.0)	(19.0, 107691.0)	(20.0, 140780.0)	(21.0, 177012.0)	(22.0, 213246.0)	(23.0, 254715.0)	(24.0, 297882.0)	(25.0, 345815.0)	(26.0, 398280.0)	(27.0, 457587.0)	(28.0, 519260.0)	(29.0, 587302.0)	(30.0, 670293.0)	(31.0, 768847.0)	(32.0, 886048.0)	(33.0, 1032892.0)	(34.0, 1227648.0)	(35.0, 1494562.0)	(36.0, 1881501.0)	(37.0, 2493906.0)	(38.0, 3623306.0)	(39.0, 6410639.0)	(40.0, 11469421.0)
SRR8146976_1	(11.0, 1.0)	(12.0, 0.0)	(13.0, 6.0)	(14.0, 48.0)	(15.0, 302.0)	(16.0, 1090.0)	(17.0, 3304.0)	(18.0, 9286.0)	(19.0, 22274.0)	(20.0, 45540.0)	(21.0, 81566.0)	(22.0, 130882.0)	(23.0, 191934.0)	(24.0, 264479.0)	(25.0, 345639.0)	(26.0, 435864.0)	(27.0, 537102.0)	(28.0, 650201.0)	(29.0, 776061.0)	(30.0, 918766.0)	(31.0, 1071966.0)	(32.0, 1232017.0)	(33.0, 1393056.0)	(34.0, 1551797.0)	(35.0, 1735496.0)	(36.0, 1964788.0)	(37.0, 2297433.0)	(38.0, 2822942.0)	(39.0, 3929575.0)	(40.0, 6164263.0)
SRR8146976_2	(11.0, 30.0)	(12.0, 347.0)	(13.0, 2450.0)	(14.0, 10669.0)	(15.0, 32628.0)	(16.0, 68581.0)	(17.0, 111579.0)	(18.0, 156232.0)	(19.0, 201258.0)	(20.0, 249558.0)	(21.0, 300481.0)	(22.0, 354186.0)	(23.0, 414579.0)	(24.0, 475731.0)	(25.0, 546846.0)	(26.0, 624164.0)	(27.0, 709217.0)	(28.0, 802781.0)	(29.0, 908116.0)	(30.0, 1027959.0)	(31.0, 1158130.0)	(32.0, 1300065.0)	(33.0, 1451201.0)	(34.0, 1615024.0)	(35.0, 1802589.0)	(36.0, 2025404.0)	(37.0, 2333311.0)	(38.0, 2793198.0)	(39.0, 3569168.0)	(40.0, 3532196.0)
