Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8146972_1	(1.0, 86.69620985223668)	(2.0, 10.825699232261142)	(3.0, 1.6747535473728794)	(4.0, 0.40113547573538255)	(5.0, 0.15813970062874266)	(6.0, 0.09688020601491874)	(7.0, 0.054598362574601204)	(8.0, 0.029376859840623652)	(9.0, 0.019283327013922966)	('>10', 0.03784372915590566)	('>50', 0.001115850339362086)	('>100', 0.004963856825866256)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146972_2	(1.0, 90.85051654839926)	(2.0, 7.480162279861196)	(3.0, 1.139983873123578)	(4.0, 0.27145465676328306)	(5.0, 0.10475614730391546)	(6.0, 0.0555035810490032)	(7.0, 0.04751905546806864)	(8.0, 0.011142271689801794)	(9.0, 0.015222392833185302)	('>10', 0.016382078758031337)	('>50', 0.002271771376704453)	('>100', 0.005085343373979636)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146973_1	(1.0, 82.001219719441)	(2.0, 14.040032966421531)	(3.0, 2.660915842170365)	(4.0, 0.5874226788981115)	(5.0, 0.2021413600581764)	(6.0, 0.09971448783499329)	(7.0, 0.06859549321736465)	(8.0, 0.03940166183106569)	(9.0, 0.03237895530081308)	('>10', 0.25672329735372695)	('>50', 0.0)	('>100', 0.007689182299649268)	('>500', 0.0)	('>1k', 0.0037643551731959043)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146973_2	(1.0, 87.41960922347218)	(2.0, 9.965689712211613)	(3.0, 1.747662354134732)	(4.0, 0.3966498861363542)	(5.0, 0.13777822140357837)	(6.0, 0.05942394248106678)	(7.0, 0.023199915531892157)	(8.0, 0.03434679965281374)	(9.0, 0.02124589941976475)	('>10', 0.185096464011917)	('>50', 0.0)	('>100', 0.005336633027624275)	('>500', 0.0)	('>1k', 0.003960948516480167)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146974_1	(1.0, 76.26496992329407)	(2.0, 17.011870738420008)	(3.0, 4.236060826969099)	(4.0, 1.0550862861662913)	(5.0, 0.41020189702909765)	(6.0, 0.23058173091313294)	(7.0, 0.1774817342472665)	(8.0, 0.11917200839227818)	(9.0, 0.11631641783902587)	('>10', 0.3659190894528925)	('>50', 0.0033057897649054033)	('>100', 0.004794497971348232)	('>500', 0.004239059540629659)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146974_2	(1.0, 83.144128491244)	(2.0, 12.42386216480025)	(3.0, 2.702754531619861)	(4.0, 0.728886476219902)	(5.0, 0.28755806207359913)	(6.0, 0.15808661440028773)	(7.0, 0.1300830693684739)	(8.0, 0.1110859306384592)	(9.0, 0.08495337826243399)	('>10', 0.22011475956033688)	('>50', 0.001074705433468069)	('>100', 0.0031696813009988016)	('>500', 0.0042421350779057905)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146975_1	(1.0, 64.2971469542314)	(2.0, 18.780045574452593)	(3.0, 7.271164616026236)	(4.0, 3.1296508958496734)	(5.0, 1.4958354135154328)	(6.0, 0.8947913640750945)	(7.0, 0.5900153598814037)	(8.0, 0.41038712293570806)	(9.0, 0.32717313072497206)	('>10', 2.7377575993907564)	('>50', 0.0163017000656433)	('>100', 0.011329677180153841)	('>500', 0.00443615148414095)	('>1k', 0.033964440186727854)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146975_2	(1.0, 74.78490202910291)	(2.0, 13.526901623459874)	(3.0, 5.054218195155767)	(4.0, 2.060895872965208)	(5.0, 1.0334342240264849)	(6.0, 0.6014390072253202)	(7.0, 0.41496385206752257)	(8.0, 0.2864532368953235)	(9.0, 0.2403999623319353)	('>10', 1.9419639677499743)	('>50', 0.006495757418517512)	('>100', 0.007862164939008903)	('>500', 0.004717662652873047)	('>1k', 0.03535244400930456)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146976_1	(1.0, 78.31500773559577)	(2.0, 13.641872586788658)	(3.0, 4.2383652649794845)	(4.0, 1.5535816978117722)	(5.0, 0.6499144765077393)	(6.0, 0.3084072366355625)	(7.0, 0.1645772151904336)	(8.0, 0.12845893820394041)	(9.0, 0.09322372816401164)	('>10', 0.8482978414374167)	('>50', 0.02554063860149109)	('>100', 0.00809804913258613)	('>500', 0.004686100206728384)	('>1k', 0.019968490744389625)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146976_2	(1.0, 85.61594543018607)	(2.0, 9.269132370240756)	(3.0, 2.789702790797092)	(4.0, 0.9151482261664363)	(5.0, 0.3663078648676005)	(6.0, 0.18650390218682908)	(7.0, 0.12018050679403844)	(8.0, 0.09105420244680443)	(9.0, 0.06283753363684279)	('>10', 0.5434693769370191)	('>50', 0.005535685809100813)	('>100', 0.009235075678515389)	('>500', 0.004690685939870619)	('>1k', 0.020256348312993968)	('>5k', 0.0)	('>10k+', 0.0)
