Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8146972_1	7.16778190165445	52.0	149.9999973998479	150	0.0	27.306095
SRR8146972_2	4.92010279865832	52.0	149.9999975829572	150	0.0	27.306095
SRR8146973_1	9.852148482715222	55.0	149.99999976866923	150	0.0	34.582516999999996
SRR8146973_2	6.855916833683239	55.0	150.0	150	0.0	34.582516999999996
SRR8146974_1	13.350598027796153	56.0	149.99999980236507	150	10.0	35.418839
SRR8146974_2	9.417651157269319	56.0	150.0	150	0.0	35.418839
SRR8146975_1	22.312513640812966	47.0	150.0	150	0.0	35.602941
SRR8146975_2	15.697905557640553	47.0	150.0	150	0.0	35.602941
SRR8146976_1	12.780671171911862	52.0	149.9999926516073	150	0.0	28.577678
SRR8146976_2	8.416349225406563	52.0	150.0	150	0.0	28.577678
SRR8146977_1	34.341548563455376	47.0	149.99999653390105	150	10.0	39.237195
SRR8146977_2	25.767508174997502	48.0	149.99999737493977	150	10.0	39.237195
